timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
26-Jan-26 12:00:00 AM AEST,25.3,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,0.00
26-Jan-26 12:00:00 AM AEST,25.4,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,0.00
26-Jan-26 12:01:00 AM AEST,nan,nan,nan,0.20,38.40,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:02:00 AM AEST,nan,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:02:01 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:03:00 AM AEST,25.3,96.2,nan,nan,nan,nan,218.10,nan,nan,nan,nan,nan
26-Jan-26 12:04:00 AM AEST,nan,nan,nan,nan,nan,nan,218.20,nan,nan,nan,nan,nan
26-Jan-26 12:04:05 AM AEST,25.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:05:00 AM AEST,nan,96.3,nan,0.20,38.60,nan,218.10,0.08,2.40,0.80,218.20,0.80
26-Jan-26 12:05:00 AM AEST,nan,96.2,nan,0.20,38.60,nan,218.20,0.08,2.40,0.80,218.20,0.80
26-Jan-26 12:06:00 AM AEST,nan,nan,nan,nan,nan,nan,218.10,nan,nan,nan,218.00,0.00
26-Jan-26 12:06:01 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:06:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
26-Jan-26 12:06:59 AM AEST,nan,nan,nan,nan,38.80,nan,nan,nan,nan,nan,nan,nan
26-Jan-26 12:06:59 AM AEST,nan,nan,nan,nan,39.00,nan,nan,nan,nan,nan,nan,nan
