timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
09-Jul-21 8:00:00 AM AEST,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
09-Jul-21 8:00:00 AM AEST,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:00 AM AEST,0.0,0.0,0.0,nan,nan,nan,0.00,0.00,0.00,0.00,0.00,0.00
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,1.80,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:18:04 AM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
09-Jul-21 8:23:00 AM AEST,0.0,0.0,0.0,nan,nan,nan,0.00,0.00,0.00,0.00,0.00,0.00
09-Jul-21 11:00:00 AM AEST,nan,nan,nan,nan,nan,0.27,nan,nan,nan,nan,nan,nan
09-Jul-21 11:37:00 AM AEST,27.1,55.5,17.0,nan,nan,nan,288.40,0.41,7.10,4.00,286.20,334.20
09-Jul-21 11:38:04 AM AEST,nan,nan,nan,nan,nan,nan,294.10,0.10,nan,nan,294.00,nan
