timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
21-Dec-21 9:00:00 PM AEST,nan,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,nan
21-Dec-21 9:26:00 PM AEST,25.5,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 9:27:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,0.00,0.00,0.00,nan
21-Dec-21 9:27:29 PM AEST,nan,nan,nan,nan,2.60,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:27:29 PM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:29:00 PM AEST,25.4,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 9:30:05 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 9:33:00 PM AEST,25.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:35:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.80
21-Dec-21 9:36:05 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
21-Dec-21 9:39:00 PM AEST,nan,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 9:39:00 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 9:41:00 PM AEST,25.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:46:00 PM AEST,25.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:48:00 PM AEST,nan,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 9:49:05 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 9:50:00 PM AEST,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:55:00 PM AEST,24.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:56:00 PM AEST,nan,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 9:56:00 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 9:56:06 PM AEST,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 9:56:06 PM AEST,24.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 10:00:02 PM AEST,nan,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,nan
21-Dec-21 10:00:02 PM AEST,nan,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,nan
21-Dec-21 10:01:00 PM AEST,24.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 10:02:06 PM AEST,24.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 10:03:12 PM AEST,24.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21-Dec-21 10:04:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.03,2.40,0.30,261.00,nan
21-Dec-21 10:05:00 PM AEST,nan,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 10:05:05 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.12,nan,1.20,260.50,nan
21-Dec-21 10:06:05 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 10:06:10 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.07,nan,0.70,nan,nan
21-Dec-21 10:07:00 PM AEST,24.7,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
21-Dec-21 10:07:10 PM AEST,nan,nan,nan,nan,nan,nan,260.40,nan,nan,nan,nan,nan
21-Dec-21 10:07:15 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.09,nan,0.90,nan,nan
21-Dec-21 10:08:15 PM AEST,nan,nan,nan,nan,nan,nan,260.50,nan,nan,nan,nan,nan
21-Dec-21 10:08:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.11,nan,1.10,nan,nan
21-Dec-21 10:09:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.60,nan
21-Dec-21 10:09:25 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.06,nan,0.60,nan,nan
21-Dec-21 10:10:05 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.30,nan
21-Dec-21 10:10:30 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.03,nan,0.30,nan,nan
