timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
03-Jul-23 9:00:00 AM AEST,nan,95.5,nan,0.20,0.20,0.06,53.60,0.17,3.50,1.70,53.60,48.30
03-Jul-23 9:00:00 AM AEST,nan,95.5,nan,0.20,0.40,0.06,53.60,0.17,3.50,1.70,53.60,48.30
03-Jul-23 9:01:00 AM AEST,nan,nan,22.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.30,nan,nan
03-Jul-23 9:01:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.23,nan,nan,nan,60.00
03-Jul-23 9:01:06 AM AEST,nan,95.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:01:59 AM AEST,nan,nan,nan,nan,0.60,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:02:00 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,2.40,nan,nan,nan
03-Jul-23 9:02:07 AM AEST,nan,nan,22.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.70,nan,nan
03-Jul-23 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.17,nan,nan,nan,70.80
03-Jul-23 9:03:00 AM AEST,22.8,nan,nan,nan,nan,nan,53.70,nan,nan,nan,53.70,nan
03-Jul-23 9:03:06 AM AEST,nan,nan,nan,0.20,nan,nan,nan,nan,3.50,nan,nan,nan
03-Jul-23 9:03:06 AM AEST,nan,nan,nan,0.20,nan,nan,nan,nan,1.20,nan,nan,nan
03-Jul-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan
03-Jul-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.80,nan,nan
03-Jul-23 9:03:14 AM AEST,nan,nan,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.24,nan,nan,nan,72.50
03-Jul-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.08,nan,nan,nan,73.30
03-Jul-23 9:04:05 AM AEST,nan,nan,nan,nan,nan,nan,53.60,nan,nan,nan,nan,nan
03-Jul-23 9:04:12 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,2.40,nan,nan,nan
03-Jul-23 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.40,nan,nan
03-Jul-23 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.14,nan,nan,nan,76.70
03-Jul-23 9:04:59 AM AEST,22.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:04:59 AM AEST,22.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:05:00 AM AEST,nan,95.0,nan,nan,nan,nan,nan,nan,nan,nan,53.60,nan
03-Jul-23 9:05:10 AM AEST,nan,nan,nan,nan,nan,nan,53.70,nan,nan,nan,nan,nan
03-Jul-23 9:05:18 AM AEST,nan,nan,nan,0.20,nan,nan,nan,nan,3.50,nan,nan,nan
03-Jul-23 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.10,nan,nan
03-Jul-23 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.21,nan,nan,nan,77.50
03-Jul-23 9:06:00 AM AEST,nan,nan,nan,nan,0.80,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:06:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.70,nan
03-Jul-23 9:06:15 AM AEST,nan,nan,nan,nan,nan,nan,53.60,nan,nan,nan,nan,nan
03-Jul-23 9:06:24 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,2.40,0.50,nan,nan
03-Jul-23 9:06:30 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,69.20
03-Jul-23 9:07:20 AM AEST,nan,nan,nan,nan,nan,nan,53.70,nan,nan,nan,nan,nan
03-Jul-23 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10,nan,nan
03-Jul-23 9:07:30 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
03-Jul-23 9:07:35 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan,nan,58.30
03-Jul-23 9:08:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.30,nan
03-Jul-23 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00,nan,nan
03-Jul-23 9:08:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
03-Jul-23 9:08:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.10,nan,nan,nan,47.50
03-Jul-23 9:09:00 AM AEST,22.9,94.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Jul-23 9:09:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.80,nan
03-Jul-23 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.90,nan,nan
03-Jul-23 9:09:42 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
03-Jul-23 9:09:45 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.19,nan,nan,nan,42.50
03-Jul-23 9:10:00 AM AEST,nan,nan,nan,nan,nan,nan,53.60,nan,nan,nan,nan,nan
