timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
04-Dec-23 9:00:00 AM AEST,32.7,57.8,23.3,nan,nan,0.56,229.30,0.50,7.10,4.00,221.40,688.30
04-Dec-23 9:00:00 AM AEST,32.7,57.8,23.3,nan,nan,0.56,229.00,0.37,5.90,3.50,225.20,520.80
04-Dec-23 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.17,nan,nan,241.90,nan
04-Dec-23 9:01:05 AM AEST,32.8,58.2,nan,nan,nan,nan,241.90,nan,2.40,1.70,nan,705.00
04-Dec-23 9:02:00 AM AEST,nan,nan,23.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.33,nan,nan,229.50,nan
04-Dec-23 9:02:10 AM AEST,32.9,57.2,nan,nan,nan,nan,231.00,nan,5.90,3.30,nan,705.70
04-Dec-23 9:03:05 AM AEST,nan,nan,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.35,nan,nan,240.10,nan
04-Dec-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,240.10,nan,4.70,3.50,nan,697.50
04-Dec-23 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.68,nan,nan,248.80,nan
04-Dec-23 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,248.20,nan,8.30,5.70,nan,693.30
04-Dec-23 9:05:00 AM AEST,33.0,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:05:00 AM AEST,32.8,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.50,nan,nan,221.70,nan
04-Dec-23 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,230.10,nan,nan,4.10,nan,684.10
04-Dec-23 9:06:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.54,nan,nan,189.70,nan
04-Dec-23 9:06:30 AM AEST,nan,nan,nan,nan,nan,nan,185.80,nan,nan,5.10,nan,684.20
04-Dec-23 9:07:00 AM AEST,nan,57.8,23.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.53,nan,nan,185.90,nan
04-Dec-23 9:07:35 AM AEST,nan,nan,nan,nan,nan,nan,188.00,nan,nan,3.70,nan,685.80
04-Dec-23 9:08:00 AM AEST,32.7,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
04-Dec-23 9:08:05 AM AEST,nan,58.5,23.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:08:05 AM AEST,nan,58.5,23.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.28,nan,nan,124.80,nan
04-Dec-23 9:08:40 AM AEST,nan,nan,nan,nan,nan,nan,124.80,nan,nan,2.80,nan,687.50
04-Dec-23 9:09:05 AM AEST,32.6,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
04-Dec-23 9:09:10 AM AEST,nan,59.7,23.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:09:10 AM AEST,nan,59.8,23.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.16,nan,nan,36.90,nan
04-Dec-23 9:09:45 AM AEST,nan,nan,nan,nan,nan,nan,63.70,nan,nan,1.10,nan,685.80
04-Dec-23 9:10:10 AM AEST,32.9,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
04-Dec-23 9:10:10 AM AEST,33.1,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
04-Dec-23 9:10:15 AM AEST,nan,59.2,24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:10:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.40,nan,nan,193.00,nan
04-Dec-23 9:10:50 AM AEST,nan,nan,nan,nan,nan,nan,206.80,nan,nan,3.00,nan,690.80
04-Dec-23 9:11:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
04-Dec-23 9:11:20 AM AEST,nan,57.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:11:44 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.38,nan,nan,188.70,nan
04-Dec-23 9:11:55 AM AEST,nan,nan,nan,nan,nan,nan,188.60,nan,nan,3.80,nan,693.30
04-Dec-23 9:12:25 AM AEST,nan,57.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:12:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.28,nan,nan,227.70,nan
04-Dec-23 9:13:00 AM AEST,nan,nan,23.5,nan,nan,nan,211.40,nan,nan,2.40,nan,697.40
04-Dec-23 9:13:30 AM AEST,nan,57.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:13:52 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.41,nan,nan,296.80,nan
04-Dec-23 9:14:00 AM AEST,33.2,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
04-Dec-23 9:14:00 AM AEST,33.3,nan,nan,nan,nan,nan,nan,nan,18.90,nan,nan,nan
04-Dec-23 9:14:05 AM AEST,nan,nan,23.6,nan,nan,nan,298.00,nan,nan,4.10,nan,662.50
04-Dec-23 9:14:05 AM AEST,nan,nan,23.5,nan,nan,nan,306.00,nan,nan,8.20,nan,701.70
04-Dec-23 9:14:35 AM AEST,nan,58.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:14:56 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.86,nan,nan,301.70,nan
04-Dec-23 9:14:56 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.69,nan,nan,214.60,nan
04-Dec-23 9:15:05 AM AEST,33.1,nan,nan,nan,nan,nan,nan,nan,13.00,nan,nan,nan
04-Dec-23 9:15:10 AM AEST,nan,nan,23.9,nan,nan,nan,219.00,nan,nan,5.80,nan,720.70
04-Dec-23 9:15:40 AM AEST,nan,58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:16:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.89,nan,nan,192.70,nan
04-Dec-23 9:16:10 AM AEST,33.0,nan,nan,nan,nan,nan,nan,nan,11.80,nan,nan,nan
04-Dec-23 9:16:15 AM AEST,nan,nan,23.7,nan,nan,nan,190.30,nan,nan,8.50,nan,725.00
04-Dec-23 9:16:45 AM AEST,nan,57.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:17:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.54,nan,nan,171.10,nan
04-Dec-23 9:17:15 AM AEST,32.7,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
04-Dec-23 9:17:20 AM AEST,nan,nan,23.5,nan,nan,nan,171.30,nan,nan,5.40,nan,710.70
04-Dec-23 9:17:50 AM AEST,nan,57.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04-Dec-23 9:18:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.43,nan,nan,267.90,nan
04-Dec-23 9:18:20 AM AEST,32.9,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
04-Dec-23 9:18:25 AM AEST,nan,nan,23.3,nan,nan,nan,254.50,nan,nan,3.30,nan,701.70
