timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
18-Sep-23 9:00:00 AM AEST,nan,89.8,nan,nan,nan,0.17,358.00,0.15,3.50,1.50,358.00,111.70
18-Sep-23 9:01:00 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:01:05 AM AEST,nan,89.7,nan,nan,nan,nan,5.50,0.38,8.30,3.80,8.40,126.60
18-Sep-23 9:02:06 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:02:10 AM AEST,nan,89.8,nan,nan,nan,nan,22.10,0.37,5.90,3.70,23.30,133.30
18-Sep-23 9:03:00 AM AEST,21.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:03:12 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,37.80,0.14,3.50,1.40,37.90,141.60
18-Sep-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,37.80,0.40,3.50,1.40,37.90,141.60
18-Sep-23 9:04:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:04:18 AM AEST,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,33.30,nan,7.10,4.00,31.60,158.30
18-Sep-23 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,15.00,nan,5.90,4.00,15.00,177.50
18-Sep-23 9:04:59 AM AEST,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:04:59 AM AEST,21.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:05:05 AM AEST,nan,89.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:05:24 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,12.00,nan,4.70,3.00,12.00,212.50
18-Sep-23 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.30,nan,nan,nan,nan
18-Sep-23 9:06:30 AM AEST,nan,nan,20.0,nan,nan,nan,318.70,nan,8.30,4.90,315.00,248.30
18-Sep-23 9:06:58 AM AEST,21.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:07:00 AM AEST,nan,89.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:07:00 AM AEST,nan,89.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:07:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.51,nan,nan,nan,nan
18-Sep-23 9:07:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.41,nan,nan,nan,nan
18-Sep-23 9:07:35 AM AEST,nan,nan,nan,nan,nan,nan,338.00,nan,10.60,3.80,330.00,260.80
18-Sep-23 9:07:36 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:08:05 AM AEST,nan,89.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:08:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.70,nan,nan,nan,nan
18-Sep-23 9:08:40 AM AEST,nan,nan,nan,nan,nan,nan,298.70,nan,13.00,6.80,293.40,247.50
18-Sep-23 9:08:42 AM AEST,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:08:57 AM AEST,21.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:08:57 AM AEST,21.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:09:10 AM AEST,nan,89.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:09:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.34,nan,nan,nan,nan
18-Sep-23 9:09:45 AM AEST,nan,nan,nan,nan,nan,nan,337.70,nan,5.90,3.30,337.30,238.30
18-Sep-23 9:09:48 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:10:15 AM AEST,nan,89.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:10:50 AM AEST,nan,nan,nan,nan,nan,nan,23.90,nan,nan,nan,24.90,210.80
18-Sep-23 9:10:54 AM AEST,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:10:56 AM AEST,21.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Sep-23 9:11:55 AM AEST,nan,nan,nan,nan,nan,nan,5.80,nan,nan,nan,2.90,202.50
18-Sep-23 9:12:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
18-Sep-23 9:12:55 AM AEST,21.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
