timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
01-Sep-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.26,nan,nan,nan,nan,nan,nan
01-Sep-25 9:01:00 AM AEST,26.1,65.3,18.9,nan,nan,nan,339.40,0.60,10.60,5.70,341.70,489.90
01-Sep-25 9:01:00 AM AEST,26.2,65.3,19.1,nan,nan,nan,339.40,0.60,10.60,5.70,341.70,489.90
01-Sep-25 9:02:00 AM AEST,nan,nan,nan,nan,nan,nan,315.20,0.41,8.30,4.00,314.40,495.00
01-Sep-25 9:02:04 AM AEST,nan,64.7,19.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:03:00 AM AEST,nan,nan,nan,nan,nan,nan,282.40,0.49,nan,4.80,281.90,496.60
01-Sep-25 9:03:08 AM AEST,nan,64.8,19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:04:00 AM AEST,26.3,nan,nan,nan,nan,nan,281.90,0.28,3.50,2.80,nan,500.00
01-Sep-25 9:04:12 AM AEST,nan,65.0,19.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:05:00 AM AEST,nan,nan,nan,nan,nan,nan,287.90,0.61,10.60,6.00,289.50,505.00
01-Sep-25 9:05:04 AM AEST,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:05:04 AM AEST,26.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:05:16 AM AEST,nan,63.8,19.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,274.40,0.77,11.80,7.60,275.80,484.10
01-Sep-25 9:06:08 AM AEST,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:06:20 AM AEST,nan,64.0,18.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:07:00 AM AEST,nan,nan,nan,nan,nan,nan,311.90,0.70,nan,6.00,315.80,525.80
01-Sep-25 9:07:12 AM AEST,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:07:24 AM AEST,nan,64.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:08:00 AM AEST,nan,nan,nan,nan,nan,nan,330.50,nan,10.60,7.00,330.00,404.90
01-Sep-25 9:08:16 AM AEST,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:08:28 AM AEST,nan,64.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:09:00 AM AEST,nan,nan,18.7,nan,nan,nan,10.70,0.47,7.10,4.20,12.10,267.50
01-Sep-25 9:09:32 AM AEST,nan,64.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:10:00 AM AEST,nan,nan,nan,nan,nan,nan,11.20,0.43,nan,3.70,16.00,405.00
01-Sep-25 9:10:04 AM AEST,nan,nan,18.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:10:36 AM AEST,nan,64.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:11:00 AM AEST,26.2,nan,nan,nan,nan,nan,332.00,0.34,4.70,3.40,332.30,439.90
01-Sep-25 9:11:08 AM AEST,nan,nan,18.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:11:40 AM AEST,nan,64.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:12:00 AM AEST,nan,nan,nan,nan,nan,nan,344.00,0.51,7.10,5.10,343.40,123.30
01-Sep-25 9:12:04 AM AEST,26.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:12:12 AM AEST,nan,nan,19.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:12:44 AM AEST,nan,64.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:13:00 AM AEST,nan,nan,nan,nan,nan,nan,337.80,0.29,5.90,2.90,339.90,nan
01-Sep-25 9:13:48 AM AEST,nan,64.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:14:00 AM AEST,nan,nan,nan,nan,nan,nan,313.60,0.56,9.50,4.70,317.50,153.30
01-Sep-25 9:15:00 AM AEST,26.1,nan,19.0,nan,nan,nan,279.70,0.57,7.10,5.20,279.60,266.70
01-Sep-25 9:16:00 AM AEST,nan,64.3,nan,nan,nan,nan,294.60,0.28,5.90,2.80,294.60,202.50
01-Sep-25 9:16:00 AM AEST,nan,64.7,nan,nan,nan,nan,294.60,0.28,5.90,2.80,294.60,202.50
01-Sep-25 9:16:04 AM AEST,nan,nan,18.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:17:00 AM AEST,nan,nan,nan,nan,nan,nan,316.20,0.42,7.10,3.80,317.40,168.30
01-Sep-25 9:17:04 AM AEST,nan,64.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:17:08 AM AEST,nan,nan,18.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:18:00 AM AEST,26.0,nan,nan,nan,nan,nan,290.50,0.56,8.30,5.50,289.20,161.60
01-Sep-25 9:18:00 AM AEST,25.8,nan,nan,nan,nan,nan,290.50,0.56,8.30,5.50,289.20,161.60
01-Sep-25 9:18:12 AM AEST,nan,nan,18.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Sep-25 9:19:00 AM AEST,nan,nan,nan,nan,nan,nan,20.10,0.41,7.10,3.90,20.40,214.20
