timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
20-Oct-25 12:00:00 AM AEST,21.4,nan,nan,nan,nan,nan,nan,0.03,1.20,0.30,358.60,0.00
20-Oct-25 12:01:00 AM AEST,nan,90.8,19.8,nan,nan,nan,nan,0.01,nan,0.10,0.00,nan
20-Oct-25 12:02:00 AM AEST,nan,90.7,nan,nan,nan,nan,358.20,0.00,0.00,0.00,nan,nan
20-Oct-25 12:02:01 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:03:00 AM AEST,nan,90.8,nan,nan,nan,nan,358.30,nan,nan,nan,nan,nan
20-Oct-25 12:03:02 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:04:00 AM AEST,nan,90.7,nan,nan,nan,nan,358.20,nan,nan,nan,nan,nan
20-Oct-25 12:05:00 AM AEST,21.3,90.8,19.7,nan,nan,nan,358.30,0.02,1.20,0.20,358.80,nan
20-Oct-25 12:05:00 AM AEST,21.4,90.8,19.7,nan,nan,nan,358.20,0.02,1.20,0.20,358.80,nan
20-Oct-25 12:06:00 AM AEST,nan,90.7,nan,nan,nan,nan,358.30,0.01,nan,0.10,0.00,nan
20-Oct-25 12:06:01 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:06:04 AM AEST,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:07:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan
20-Oct-25 12:08:00 AM AEST,nan,91.0,19.7,nan,nan,nan,nan,0.01,0.00,0.00,nan,0.80
20-Oct-25 12:08:00 AM AEST,nan,90.8,19.7,nan,nan,nan,nan,0.01,0.00,0.00,nan,0.00
20-Oct-25 12:09:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,0.10,nan,nan
20-Oct-25 12:09:01 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:10:00 AM AEST,nan,91.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:10:02 AM AEST,nan,nan,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:11:00 AM AEST,nan,91.0,nan,nan,nan,nan,nan,0.00,0.00,0.00,nan,nan
20-Oct-25 12:11:03 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Oct-25 12:12:00 AM AEST,nan,91.2,nan,nan,nan,nan,nan,0.01,1.20,0.10,nan,nan
