timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
14-Apr-25 10:00:00 PM AEST,nan,nan,nan,nan,nan,0.02,nan,nan,nan,nan,nan,nan
14-Apr-25 10:18:00 PM AEST,24.1,83.0,21.0,nan,nan,nan,3.60,0.55,7.10,4.80,1.10,0.80
14-Apr-25 10:25:00 PM AEST,nan,82.7,nan,nan,nan,nan,331.50,0.07,2.40,0.60,331.20,0.00
14-Apr-25 10:31:00 PM AEST,nan,82.3,nan,nan,nan,nan,303.20,0.54,13.00,5.20,307.70,nan
14-Apr-25 10:57:27 PM AEST,nan,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan
14-Apr-25 11:13:00 PM AEST,24.2,83.7,21.3,nan,nan,nan,352.50,0.07,1.20,0.70,352.50,nan
14-Apr-25 11:30:00 PM AEST,23.9,85.3,nan,nan,nan,nan,7.30,0.00,0.00,0.00,0.00,nan
14-Apr-25 11:36:00 PM AEST,nan,85.2,21.2,nan,nan,nan,263.70,0.15,3.50,1.50,263.50,nan
14-Apr-25 11:38:00 PM AEST,nan,85.0,nan,nan,nan,nan,27.30,0.28,4.70,2.70,25.90,nan
14-Apr-25 11:39:00 PM AEST,24.0,nan,nan,nan,nan,nan,nan,0.41,nan,3.70,298.30,nan
14-Apr-25 11:39:01 PM AEST,nan,nan,nan,nan,nan,nan,312.70,nan,nan,nan,nan,nan
14-Apr-25 11:39:05 PM AEST,nan,85.2,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
14-Apr-25 11:41:00 PM AEST,nan,85.0,21.3,nan,nan,nan,5.60,0.22,3.50,2.20,5.50,nan
14-Apr-25 11:43:00 PM AEST,24.1,nan,nan,nan,nan,nan,5.40,0.07,nan,0.70,5.20,nan
15-Apr-25 4:00:00 PM AEST,nan,nan,nan,nan,nan,0.26,nan,nan,nan,nan,nan,nan
15-Apr-25 4:28:00 PM AEST,nan,nan,nan,nan,0.40,nan,nan,nan,nan,nan,nan,nan
15-Apr-25 4:28:00 PM AEST,nan,nan,nan,nan,0.60,nan,nan,nan,nan,nan,nan,nan
15-Apr-25 4:31:00 PM AEST,27.0,74.7,22.0,nan,nan,nan,222.60,0.24,nan,2.20,218.80,76.70
15-Apr-25 4:31:00 PM AEST,26.8,74.7,22.1,nan,nan,nan,222.60,0.24,nan,2.20,218.80,76.70
15-Apr-25 4:32:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,0.53,8.30,5.10,206.80,71.70
15-Apr-25 4:32:01 PM AEST,nan,nan,nan,nan,nan,nan,206.30,nan,nan,nan,nan,nan
15-Apr-25 4:32:05 PM AEST,nan,75.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
