timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
06-Jun-22 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.10,38.60,0.01,nan,0.10,37.60,117.50
06-Jun-22 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.04,nan,nan,nan,115.80
06-Jun-22 9:01:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40,nan,nan
06-Jun-22 9:01:06 AM AEST,nan,nan,nan,nan,nan,nan,38.70,nan,nan,nan,38.40,nan
06-Jun-22 9:02:00 AM AEST,24.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Jun-22 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan,nan,113.30
06-Jun-22 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10,nan,nan
06-Jun-22 9:02:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.60,nan
06-Jun-22 9:03:00 AM AEST,nan,nan,nan,nan,nan,nan,38.80,nan,0.00,nan,nan,nan
06-Jun-22 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,109.20
06-Jun-22 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan
06-Jun-22 9:03:18 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan
06-Jun-22 9:04:01 AM AEST,24.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Jun-22 9:04:06 AM AEST,nan,nan,nan,nan,nan,nan,38.60,nan,nan,nan,nan,nan
06-Jun-22 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106.60
06-Jun-22 9:05:12 AM AEST,nan,nan,nan,nan,nan,nan,38.70,nan,nan,nan,nan,nan
06-Jun-22 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.20
06-Jun-22 9:06:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.00
06-Jun-22 9:07:00 AM AEST,nan,nan,nan,nan,nan,nan,38.60,nan,nan,nan,nan,nan
06-Jun-22 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106.70
06-Jun-22 9:08:00 AM AEST,24.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Jun-22 9:08:06 AM AEST,nan,nan,nan,nan,nan,nan,38.70,nan,nan,nan,nan,nan
06-Jun-22 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.80
06-Jun-22 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106.70
06-Jun-22 9:10:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.00
