timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
07-Mar-22 9:00:00 AM AEST,32.8,nan,15.4,nan,nan,nan,201.80,0.46,8.30,2.70,210.90,442.40
07-Mar-22 9:00:00 AM AEST,32.8,nan,15.4,nan,nan,nan,223.80,0.46,8.30,2.70,210.90,442.40
07-Mar-22 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.70,11.80,6.80,146.20,430.80
07-Mar-22 9:01:05 AM AEST,nan,nan,15.5,nan,nan,nan,148.00,nan,nan,nan,nan,nan
07-Mar-22 9:02:00 AM AEST,32.7,35.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Mar-22 9:02:00 AM AEST,32.7,35.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Mar-22 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.83,nan,8.00,146.90,556.70
07-Mar-22 9:02:10 AM AEST,nan,nan,15.4,nan,nan,nan,147.20,nan,nan,nan,nan,nan
07-Mar-22 9:03:05 AM AEST,32.8,35.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Mar-22 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.67,nan,6.00,168.80,575.80
07-Mar-22 9:03:15 AM AEST,nan,nan,15.5,nan,nan,nan,181.40,nan,nan,nan,nan,nan
07-Mar-22 9:04:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,16.60,nan,nan,nan
07-Mar-22 9:04:10 AM AEST,32.7,35.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Mar-22 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.91,nan,8.80,130.80,579.20
07-Mar-22 9:04:20 AM AEST,nan,nan,15.7,nan,nan,nan,131.00,nan,nan,nan,nan,nan
07-Mar-22 9:05:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,14.20,nan,nan,nan
07-Mar-22 9:05:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
07-Mar-22 9:05:15 AM AEST,nan,35.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
