timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
20-Nov-23 9:00:00 AM AEST,30.9,56.7,21.2,nan,nan,0.49,325.50,0.60,7.10,4.70,318.70,696.60
20-Nov-23 9:01:05 AM AEST,nan,55.2,nan,nan,nan,nan,289.40,1.01,nan,9.90,290.70,691.70
20-Nov-23 9:01:05 AM AEST,nan,55.2,nan,nan,nan,nan,289.40,1.01,nan,5.80,288.90,691.70
20-Nov-23 9:01:06 AM AEST,30.7,nan,21.3,nan,nan,nan,nan,nan,14.20,nan,nan,nan
20-Nov-23 9:02:10 AM AEST,nan,55.7,nan,nan,nan,nan,286.70,0.59,nan,5.10,267.20,704.90
20-Nov-23 9:02:10 AM AEST,nan,55.7,nan,nan,nan,nan,268.10,0.53,nan,5.10,267.20,717.50
20-Nov-23 9:02:12 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,9.50,nan,nan,nan
20-Nov-23 9:02:12 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,9.50,nan,nan,nan
20-Nov-23 9:03:15 AM AEST,nan,55.8,nan,nan,nan,nan,249.30,0.30,nan,2.70,247.40,739.10
20-Nov-23 9:03:18 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
20-Nov-23 9:04:00 AM AEST,30.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:04:20 AM AEST,nan,55.7,nan,nan,nan,nan,217.00,0.11,nan,1.10,217.00,445.80
20-Nov-23 9:04:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
20-Nov-23 9:05:00 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:05:06 AM AEST,31.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:05:25 AM AEST,nan,55.2,nan,nan,nan,nan,262.10,0.41,nan,3.50,270.50,548.30
20-Nov-23 9:05:30 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
20-Nov-23 9:06:06 AM AEST,nan,nan,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:06:12 AM AEST,31.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:06:12 AM AEST,31.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:06:30 AM AEST,nan,54.5,nan,nan,nan,nan,285.30,0.71,nan,6.90,287.70,526.60
20-Nov-23 9:06:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
20-Nov-23 9:07:18 AM AEST,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:07:35 AM AEST,nan,54.3,nan,nan,nan,nan,306.00,0.60,nan,6.00,305.40,231.70
20-Nov-23 9:07:42 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan
20-Nov-23 9:08:00 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:08:00 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Nov-23 9:08:40 AM AEST,nan,54.5,nan,nan,nan,nan,264.30,0.39,nan,2.70,260.70,212.50
