timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
12-Jan-26 12:00:00 AM AEST,nan,nan,nan,nan,nan,65.53,126.60,0.00,0.00,0.00,0.00,nan
12-Jan-26 12:01:00 AM AEST,27.4,87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:02:00 AM AEST,nan,nan,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:04:00 AM AEST,nan,nan,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:05:00 AM AEST,nan,87.2,25.0,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:06:00 AM AEST,27.3,87.0,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:06:00 AM AEST,27.4,87.0,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:07:00 AM AEST,nan,87.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:07:06 AM AEST,27.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:09:00 AM AEST,27.4,nan,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:09:00 AM AEST,27.4,nan,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:10:00 AM AEST,nan,87.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:10:06 AM AEST,27.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:11:00 AM AEST,nan,87.2,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:11:12 AM AEST,27.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:12:00 AM AEST,nan,87.3,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:12:18 AM AEST,27.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:13:00 AM AEST,nan,87.5,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:14:00 AM AEST,nan,87.3,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:15:00 AM AEST,nan,87.5,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:16:00 AM AEST,nan,87.7,25.1,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:17:00 AM AEST,27.2,87.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:17:05 AM AEST,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:18:00 AM AEST,nan,87.7,nan,nan,nan,nan,126.50,0.01,nan,nan,nan,nan
12-Jan-26 12:19:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,0.10,126.20,nan
12-Jan-26 12:20:00 AM AEST,nan,nan,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:21:00 AM AEST,nan,87.8,nan,nan,nan,nan,126.50,0.00,0.00,0.00,0.00,nan
12-Jan-26 12:22:00 AM AEST,nan,nan,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:23:00 AM AEST,nan,88.0,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:23:00 AM AEST,nan,88.0,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:25:00 AM AEST,27.1,88.2,nan,nan,nan,nan,126.50,0.01,1.20,0.10,124.70,nan
12-Jan-26 12:26:00 AM AEST,nan,nan,nan,nan,nan,nan,126.60,0.02,nan,0.20,125.90,nan
12-Jan-26 12:27:00 AM AEST,27.0,88.5,24.9,nan,nan,nan,nan,0.07,nan,0.60,126.60,nan
12-Jan-26 12:28:00 AM AEST,nan,88.3,nan,nan,nan,nan,126.50,0.05,nan,0.50,nan,nan
12-Jan-26 12:29:00 AM AEST,26.9,88.7,nan,nan,nan,nan,126.60,0.02,nan,0.20,126.30,nan
12-Jan-26 12:30:00 AM AEST,nan,88.8,nan,nan,nan,nan,nan,0.00,0.00,0.00,0.00,nan
12-Jan-26 12:31:00 AM AEST,26.8,89.0,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:33:00 AM AEST,nan,89.2,nan,nan,nan,nan,126.60,nan,nan,nan,nan,0.80
12-Jan-26 12:33:00 AM AEST,nan,89.2,nan,nan,nan,nan,126.60,nan,nan,nan,nan,0.00
12-Jan-26 12:34:00 AM AEST,nan,89.3,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:35:00 AM AEST,nan,nan,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
12-Jan-26 12:36:00 AM AEST,nan,89.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12-Jan-26 12:37:00 AM AEST,nan,nan,nan,nan,nan,nan,126.50,nan,nan,nan,nan,nan
12-Jan-26 12:38:00 AM AEST,nan,89.7,nan,nan,nan,nan,126.60,nan,nan,nan,nan,nan
