timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
01-Jan-24 9:00:00 AM AEST,32.3,nan,nan,nan,nan,0.33,313.40,0.69,13.00,6.20,315.00,689.10
01-Jan-24 9:01:00 AM AEST,nan,68.7,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:01:05 AM AEST,nan,nan,nan,nan,nan,nan,346.60,0.60,nan,5.20,342.80,666.70
01-Jan-24 9:01:06 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,8.30,nan,nan,nan
01-Jan-24 9:01:07 AM AEST,32.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:02:05 AM AEST,nan,nan,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:02:06 AM AEST,nan,67.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:02:06 AM AEST,nan,68.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,311.20,0.42,nan,4.20,311.20,656.70
01-Jan-24 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,306.10,0.43,nan,4.20,307.00,658.30
01-Jan-24 9:02:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
01-Jan-24 9:02:14 AM AEST,32.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:02:14 AM AEST,32.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:03:10 AM AEST,nan,nan,25.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:03:12 AM AEST,nan,68.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,327.60,0.48,nan,4.30,335.20,688.30
01-Jan-24 9:03:18 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,8.30,nan,nan,nan
01-Jan-24 9:04:15 AM AEST,nan,nan,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Jan-24 9:04:15 AM AEST,nan,nan,25.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
