timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
24-May-21 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
24-May-21 9:12:00 AM AEST,0.0,0.0,0.0,nan,nan,nan,0.00,0.00,0.00,0.00,0.00,nan
24-May-21 2:00:00 PM AEST,nan,nan,nan,nan,nan,0.33,nan,nan,nan,nan,nan,nan
24-May-21 2:23:00 PM AEST,24.2,24.0,1.3,nan,nan,nan,302.50,0.86,11.80,5.60,302.10,672.50
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.20,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,2.40,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.20,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:23:18 PM AEST,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:24:04 PM AEST,nan,nan,2.3,nan,nan,nan,353.30,0.79,nan,6.80,353.00,661.60
24-May-21 2:24:05 PM AEST,nan,25.5,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
24-May-21 2:24:58 PM AEST,24.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:25:08 PM AEST,nan,nan,3.2,nan,nan,nan,326.40,0.76,nan,4.00,335.70,548.30
24-May-21 2:25:10 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,13.00,nan,nan,nan
24-May-21 2:26:00 PM AEST,nan,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:26:12 PM AEST,nan,nan,nan,nan,nan,nan,353.70,0.83,nan,6.10,354.00,473.30
24-May-21 2:26:12 PM AEST,nan,nan,nan,nan,nan,nan,355.00,0.83,nan,6.10,354.00,391.60
24-May-21 2:26:15 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,11.80,nan,nan,nan
24-May-21 2:26:56 PM AEST,24.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-May-21 2:26:56 PM AEST,24.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
