timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
17-Feb-25 9:00:00 AM AEST,nan,63.7,26.2,nan,nan,0.00,6.60,0.02,1.20,0.20,5.80,476.70
17-Feb-25 9:00:00 AM AEST,nan,63.7,26.2,nan,nan,0.29,6.60,0.02,1.20,0.20,5.80,476.70
17-Feb-25 9:00:00 AM AEST,nan,63.7,26.2,nan,nan,0.47,6.60,0.02,1.20,0.20,5.80,476.70
17-Feb-25 9:01:00 AM AEST,nan,64.5,26.3,nan,nan,nan,nan,nan,nan,nan,nan,479.20
17-Feb-25 9:02:00 AM AEST,34.3,64.7,26.4,nan,nan,nan,6.50,0.12,4.70,1.20,6.40,483.30
17-Feb-25 9:03:00 AM AEST,nan,63.2,26.6,nan,nan,nan,242.90,0.34,nan,1.50,241.10,485.80
17-Feb-25 9:03:04 AM AEST,34.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:04:00 AM AEST,nan,62.8,26.2,nan,nan,nan,209.40,0.26,3.50,2.60,209.30,488.30
17-Feb-25 9:04:08 AM AEST,34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:05:00 AM AEST,nan,64.5,25.9,nan,nan,nan,208.60,0.07,nan,0.70,208.50,491.70
17-Feb-25 9:05:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
17-Feb-25 9:05:12 AM AEST,33.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:06:00 AM AEST,nan,64.7,26.3,nan,nan,nan,nan,0.01,nan,0.10,209.70,495.00
17-Feb-25 9:06:02 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
17-Feb-25 9:06:16 AM AEST,34.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:07:00 AM AEST,nan,65.0,26.5,nan,nan,nan,214.30,0.05,nan,0.40,241.20,498.30
17-Feb-25 9:07:03 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
17-Feb-25 9:07:20 AM AEST,34.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:08:00 AM AEST,nan,64.2,26.8,nan,nan,nan,279.50,0.31,nan,3.10,279.40,501.70
17-Feb-25 9:08:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
17-Feb-25 9:08:24 AM AEST,34.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:09:00 AM AEST,nan,63.8,26.5,nan,nan,nan,279.70,0.13,nan,1.30,279.60,504.90
17-Feb-25 9:09:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
17-Feb-25 9:09:28 AM AEST,34.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:10:00 AM AEST,nan,64.3,nan,nan,nan,nan,288.40,0.16,nan,1.60,289.20,507.50
17-Feb-25 9:10:32 AM AEST,34.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:11:00 AM AEST,nan,nan,26.7,nan,nan,nan,296.50,nan,nan,nan,296.40,510.80
17-Feb-25 9:11:36 AM AEST,34.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:12:00 AM AEST,nan,64.5,nan,nan,nan,nan,296.40,0.05,nan,0.50,296.20,514.90
17-Feb-25 9:12:40 AM AEST,34.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:13:00 AM AEST,nan,64.7,26.9,nan,nan,nan,318.30,0.33,5.90,3.00,330.90,518.30
17-Feb-25 9:13:44 AM AEST,34.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:14:00 AM AEST,nan,64.0,27.0,nan,nan,nan,337.30,0.24,nan,2.40,337.30,521.70
17-Feb-25 9:14:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
17-Feb-25 9:14:48 AM AEST,34.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:15:00 AM AEST,nan,nan,26.8,nan,nan,nan,336.70,0.07,nan,0.70,336.50,524.90
17-Feb-25 9:15:02 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
17-Feb-25 9:15:52 AM AEST,34.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:16:00 AM AEST,nan,63.3,26.9,nan,nan,nan,329.90,0.19,nan,1.90,330.00,528.30
17-Feb-25 9:16:03 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
17-Feb-25 9:16:56 AM AEST,34.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:17:00 AM AEST,nan,62.2,26.8,nan,nan,nan,326.90,0.02,nan,0.20,326.80,531.60
17-Feb-25 9:17:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
17-Feb-25 9:18:00 AM AEST,35.0,nan,26.6,nan,nan,nan,326.10,0.26,nan,2.60,325.80,534.20
17-Feb-25 9:18:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
17-Feb-25 9:19:00 AM AEST,nan,62.8,26.7,nan,nan,nan,325.70,0.20,nan,2.00,325.70,537.50
17-Feb-25 9:20:00 AM AEST,nan,62.5,26.8,nan,nan,nan,317.00,0.22,nan,2.20,308.60,541.60
17-Feb-25 9:21:00 AM AEST,nan,62.0,nan,nan,nan,nan,302.90,0.38,nan,3.80,304.90,544.20
17-Feb-25 9:22:00 AM AEST,34.9,62.5,26.6,nan,nan,nan,294.30,0.33,4.70,3.30,294.30,548.30
17-Feb-25 9:23:00 AM AEST,nan,61.3,26.7,nan,nan,nan,0.00,0.35,nan,3.50,294.20,552.50
17-Feb-25 9:23:00 AM AEST,nan,0.0,0.0,nan,nan,nan,294.30,0.00,nan,0.00,0.00,0.00
17-Feb-25 9:23:00 AM AEST,nan,61.3,26.7,nan,nan,nan,294.30,0.35,nan,3.50,294.20,552.50
17-Feb-25 9:23:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan
17-Feb-25 9:23:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
17-Feb-25 9:23:04 AM AEST,34.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:23:04 AM AEST,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:23:04 AM AEST,34.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:24:00 AM AEST,nan,62.0,26.2,nan,nan,nan,294.60,0.31,nan,3.10,294.50,558.30
17-Feb-25 9:24:02 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
17-Feb-25 9:24:08 AM AEST,34.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:25:00 AM AEST,nan,62.2,26.4,nan,nan,nan,296.60,0.25,nan,2.50,298.10,564.10
17-Feb-25 9:25:03 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
17-Feb-25 9:25:12 AM AEST,34.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:26:00 AM AEST,nan,62.3,26.5,nan,nan,nan,313.60,0.36,nan,3.60,313.50,570.80
17-Feb-25 9:26:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
17-Feb-25 9:27:00 AM AEST,34.7,61.3,26.6,nan,nan,nan,297.20,0.57,nan,5.60,295.60,577.50
17-Feb-25 9:27:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
17-Feb-25 9:28:00 AM AEST,nan,60.5,26.2,nan,nan,nan,306.40,0.24,nan,2.40,303.20,587.40
17-Feb-25 9:29:00 AM AEST,34.9,61.8,25.9,nan,nan,nan,310.90,0.01,1.20,0.10,309.80,596.70
17-Feb-25 9:30:00 AM AEST,nan,61.7,26.4,nan,nan,nan,310.80,0.24,nan,2.40,310.80,609.90
17-Feb-25 9:30:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
17-Feb-25 9:30:04 AM AEST,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:31:00 AM AEST,nan,60.2,26.5,nan,nan,nan,309.70,0.23,nan,2.30,309.70,620.80
17-Feb-25 9:32:00 AM AEST,35.1,61.8,26.1,nan,nan,nan,nan,0.22,nan,2.20,nan,635.00
17-Feb-25 9:33:00 AM AEST,nan,61.5,26.7,nan,nan,nan,nan,0.10,nan,1.00,309.80,644.90
17-Feb-25 9:33:04 AM AEST,35.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:34:00 AM AEST,nan,61.8,nan,nan,nan,nan,309.50,0.21,5.90,2.10,309.40,655.80
17-Feb-25 9:34:08 AM AEST,35.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:35:00 AM AEST,nan,60.0,26.9,nan,nan,nan,310.10,0.05,nan,0.50,313.10,669.90
17-Feb-25 9:35:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
17-Feb-25 9:35:12 AM AEST,35.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:36:00 AM AEST,nan,58.5,26.6,nan,nan,nan,354.60,0.21,nan,2.10,354.60,674.20
17-Feb-25 9:36:16 AM AEST,35.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:37:00 AM AEST,nan,59.0,26.0,nan,nan,nan,328.10,0.23,4.70,2.30,310.10,676.70
17-Feb-25 9:38:00 AM AEST,nan,58.5,26.1,nan,nan,nan,297.00,0.28,nan,2.70,298.30,680.80
17-Feb-25 9:39:00 AM AEST,35.5,58.2,26.0,nan,nan,nan,286.00,0.12,2.40,1.20,285.80,681.70
17-Feb-25 9:40:00 AM AEST,nan,58.7,nan,nan,nan,nan,nan,0.01,nan,0.10,284.00,685.80
17-Feb-25 9:40:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
17-Feb-25 9:40:04 AM AEST,35.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:41:00 AM AEST,nan,59.7,26.4,nan,nan,nan,286.10,nan,nan,nan,284.90,682.50
17-Feb-25 9:41:08 AM AEST,35.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:42:00 AM AEST,nan,60.5,26.8,nan,nan,nan,327.20,0.31,7.10,2.90,347.40,683.30
17-Feb-25 9:42:12 AM AEST,36.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:43:00 AM AEST,nan,59.8,27.2,nan,nan,nan,336.60,0.44,nan,4.30,336.30,688.30
17-Feb-25 9:43:01 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
17-Feb-25 9:43:16 AM AEST,35.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:44:00 AM AEST,nan,58.8,26.8,nan,nan,nan,341.70,0.33,nan,3.30,341.70,695.80
17-Feb-25 9:44:02 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
17-Feb-25 9:44:20 AM AEST,35.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Feb-25 9:45:00 AM AEST,nan,58.7,26.4,nan,nan,nan,320.90,0.47,nan,4.60,315.40,695.00
17-Feb-25 9:45:03 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan
17-Feb-25 9:46:00 AM AEST,35.6,57.8,nan,nan,nan,nan,284.30,nan,nan,4.50,287.30,690.80
17-Feb-25 9:46:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,8.30,nan,nan,nan
17-Feb-25 9:47:00 AM AEST,nan,59.7,26.0,nan,nan,nan,279.50,0.17,nan,1.70,279.40,699.20
