timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
18-Aug-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.34,nan,nan,nan,nan,nan,nan
18-Aug-25 9:01:00 AM AEST,22.3,78.3,18.6,nan,nan,nan,168.20,0.40,5.90,3.90,170.20,418.30
18-Aug-25 9:02:00 AM AEST,nan,76.7,18.3,nan,nan,nan,202.80,0.28,nan,2.80,201.40,421.60
18-Aug-25 9:02:05 AM AEST,22.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:03:00 AM AEST,nan,75.7,18.1,nan,nan,nan,204.20,0.31,4.70,3.10,204.60,424.20
18-Aug-25 9:03:10 AM AEST,22.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:03:10 AM AEST,22.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:04:00 AM AEST,nan,75.3,18.0,nan,nan,nan,199.30,0.17,2.40,1.60,198.50,428.30
18-Aug-25 9:04:15 AM AEST,22.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:05:00 AM AEST,nan,75.2,nan,nan,nan,nan,190.30,0.04,nan,0.40,189.80,430.80
18-Aug-25 9:05:20 AM AEST,22.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:06:00 AM AEST,nan,nan,18.1,nan,nan,nan,214.60,0.25,4.70,2.50,214.60,434.20
18-Aug-25 9:06:25 AM AEST,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:07:00 AM AEST,nan,74.0,18.2,nan,nan,nan,216.40,0.09,2.40,0.90,216.40,437.40
18-Aug-25 9:07:30 AM AEST,23.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:08:00 AM AEST,nan,72.5,18.1,nan,nan,nan,216.30,0.15,nan,1.50,216.30,440.00
18-Aug-25 9:08:35 AM AEST,23.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18-Aug-25 9:09:00 AM AEST,nan,71.8,17.9,nan,nan,nan,216.40,0.14,3.50,1.40,216.20,444.10
18-Aug-25 9:09:40 AM AEST,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
