timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
06-Nov-23 9:00:00 AM AEST,28.0,62.7,20.5,nan,nan,0.38,292.80,0.49,7.10,4.80,291.30,532.50
06-Nov-23 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,730.80
06-Nov-23 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,772.40
06-Nov-23 9:01:05 AM AEST,nan,61.5,20.2,nan,nan,nan,289.40,0.47,8.30,4.50,292.20,nan
06-Nov-23 9:01:05 AM AEST,nan,62.2,19.9,nan,nan,nan,344.50,0.47,8.30,4.70,342.70,nan
06-Nov-23 9:01:06 AM AEST,28.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,419.20
06-Nov-23 9:02:10 AM AEST,nan,62.7,20.2,nan,nan,nan,348.90,0.19,3.50,2.00,348.90,nan
06-Nov-23 9:02:12 AM AEST,28.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,495.80
06-Nov-23 9:03:15 AM AEST,nan,62.2,20.6,nan,nan,nan,290.20,0.33,8.30,2.70,236.30,nan
06-Nov-23 9:03:18 AM AEST,28.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,233.30
06-Nov-23 9:04:20 AM AEST,nan,60.2,nan,nan,nan,nan,268.20,0.96,21.30,8.60,271.40,nan
06-Nov-23 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,290.80
06-Nov-23 9:05:25 AM AEST,nan,59.2,nan,nan,nan,nan,308.40,0.73,14.20,6.80,303.50,nan
06-Nov-23 9:06:00 AM AEST,28.4,nan,20.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:06:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,559.20
06-Nov-23 9:06:30 AM AEST,nan,59.5,nan,nan,nan,nan,299.10,0.54,8.30,5.10,298.90,nan
06-Nov-23 9:07:05 AM AEST,nan,nan,19.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:07:05 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:07:06 AM AEST,28.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:07:06 AM AEST,28.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,408.30
06-Nov-23 9:07:35 AM AEST,nan,60.0,nan,nan,nan,nan,277.80,0.32,4.70,3.00,277.90,nan
06-Nov-23 9:08:10 AM AEST,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:08:12 AM AEST,28.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,306.60
06-Nov-23 9:08:40 AM AEST,nan,59.2,nan,nan,nan,nan,287.60,0.66,9.50,6.10,289.30,nan
06-Nov-23 9:09:15 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:09:18 AM AEST,28.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,315.00
06-Nov-23 9:09:45 AM AEST,nan,59.0,nan,nan,nan,nan,293.60,0.38,5.90,3.70,291.60,nan
06-Nov-23 9:10:20 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:10:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,513.30
06-Nov-23 9:10:50 AM AEST,nan,59.3,nan,nan,nan,nan,303.80,0.50,7.10,4.70,304.60,nan
06-Nov-23 9:11:25 AM AEST,nan,nan,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:11:44 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,802.50
06-Nov-23 9:11:55 AM AEST,nan,59.5,nan,nan,nan,nan,329.60,0.34,5.90,3.40,329.60,nan
06-Nov-23 9:12:00 AM AEST,28.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:12:30 AM AEST,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:12:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,631.70
06-Nov-23 9:13:00 AM AEST,nan,59.8,nan,nan,nan,nan,276.20,0.30,3.50,2.70,273.90,nan
06-Nov-23 9:13:06 AM AEST,28.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-Nov-23 9:13:35 AM AEST,nan,nan,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
