timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
23-Jan-23 9:00:00 AM AEST,nan,43.8,16.6,nan,nan,0.25,297.80,0.17,3.50,1.70,297.90,388.30
23-Jan-23 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.42,nan,4.20,310.30,nan
23-Jan-23 9:01:05 AM AEST,nan,44.0,16.5,nan,nan,nan,309.40,nan,7.10,nan,nan,338.30
23-Jan-23 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.35,nan,3.40,321.40,nan
23-Jan-23 9:02:10 AM AEST,nan,nan,16.6,nan,nan,nan,322.60,nan,nan,nan,nan,430.00
23-Jan-23 9:03:00 AM AEST,nan,43.7,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
23-Jan-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.33,nan,3.20,270.40,nan
23-Jan-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,273.90,nan,nan,nan,nan,454.10
23-Jan-23 9:04:00 AM AEST,nan,nan,16.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:04:05 AM AEST,nan,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.40,nan,3.90,295.90,nan
23-Jan-23 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,294.40,nan,nan,nan,nan,622.50
23-Jan-23 9:05:05 AM AEST,nan,nan,16.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:05:10 AM AEST,nan,43.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.28,nan,2.80,265.50,nan
23-Jan-23 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,270.70,nan,nan,nan,nan,354.10
23-Jan-23 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,300.10,nan,nan,nan,nan,325.80
23-Jan-23 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,8.30,nan,nan,nan
23-Jan-23 9:06:15 AM AEST,nan,44.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:06:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.51,nan,4.80,297.00,nan
23-Jan-23 9:06:30 AM AEST,nan,nan,nan,nan,nan,nan,332.60,nan,nan,nan,nan,300.80
23-Jan-23 9:07:00 AM AEST,30.1,nan,16.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:07:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
23-Jan-23 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.35,nan,3.10,336.00,nan
23-Jan-23 9:07:35 AM AEST,nan,nan,nan,nan,nan,nan,3.40,nan,nan,nan,nan,291.60
23-Jan-23 9:08:00 AM AEST,nan,44.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:08:05 AM AEST,nan,nan,16.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:08:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
23-Jan-23 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.27,nan,2.70,1.30,nan
23-Jan-23 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.33,nan,3.30,7.10,nan
23-Jan-23 9:08:40 AM AEST,nan,nan,nan,nan,nan,nan,7.00,nan,nan,nan,nan,315.80
23-Jan-23 9:09:05 AM AEST,nan,44.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:09:10 AM AEST,nan,nan,16.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:09:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,7.10,nan,nan,nan
23-Jan-23 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.44,nan,4.10,324.70,nan
23-Jan-23 9:09:45 AM AEST,nan,nan,nan,nan,nan,nan,327.00,nan,nan,nan,nan,338.30
23-Jan-23 9:10:10 AM AEST,nan,44.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:10:15 AM AEST,nan,nan,16.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:10:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.50,nan,4.80,354.70,nan
23-Jan-23 9:10:50 AM AEST,nan,nan,nan,nan,nan,nan,357.10,nan,nan,nan,nan,345.80
23-Jan-23 9:11:00 AM AEST,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:11:15 AM AEST,nan,44.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:11:44 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.52,nan,5.00,8.50,nan
23-Jan-23 9:11:55 AM AEST,nan,nan,nan,nan,nan,nan,10.10,nan,nan,nan,nan,396.70
23-Jan-23 9:12:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
23-Jan-23 9:12:20 AM AEST,nan,44.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:12:20 AM AEST,nan,44.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:12:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.30,nan,2.80,333.20,nan
23-Jan-23 9:13:00 AM AEST,30.1,nan,nan,nan,nan,nan,342.30,nan,nan,nan,nan,650.00
23-Jan-23 9:13:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan
23-Jan-23 9:13:52 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.37,nan,3.50,295.20,nan
23-Jan-23 9:14:05 AM AEST,nan,nan,nan,nan,nan,nan,285.90,nan,nan,nan,nan,366.70
23-Jan-23 9:14:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
23-Jan-23 9:14:56 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.19,nan,1.90,286.30,nan
23-Jan-23 9:15:00 AM AEST,30.2,44.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:15:10 AM AEST,nan,nan,nan,nan,nan,nan,283.30,nan,nan,nan,nan,419.10
23-Jan-23 9:15:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
23-Jan-23 9:16:00 AM AEST,nan,nan,16.8,nan,nan,nan,nan,0.09,nan,0.90,280.00,nan
23-Jan-23 9:16:05 AM AEST,30.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:16:15 AM AEST,nan,nan,nan,nan,nan,nan,280.00,nan,nan,nan,nan,757.50
23-Jan-23 9:16:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
23-Jan-23 9:16:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,5.90,nan,nan,nan
23-Jan-23 9:17:00 AM AEST,nan,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:17:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.32,nan,3.20,291.50,nan
23-Jan-23 9:17:10 AM AEST,30.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:17:20 AM AEST,nan,nan,nan,nan,nan,nan,290.20,nan,nan,nan,nan,624.90
23-Jan-23 9:17:25 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan
23-Jan-23 9:18:05 AM AEST,nan,43.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:18:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.10,nan,1.00,292.20,nan
23-Jan-23 9:18:15 AM AEST,30.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jan-23 9:18:25 AM AEST,nan,nan,nan,nan,nan,nan,292.40,nan,nan,nan,nan,724.20
