timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
10-Feb-25 9:00:00 AM AEST,28.8,85.0,nan,nan,nan,0.16,nan,nan,nan,nan,nan,160.80
10-Feb-25 9:00:00 AM AEST,28.9,85.0,nan,nan,nan,0.16,nan,nan,nan,nan,nan,160.80
10-Feb-25 9:01:00 AM AEST,nan,84.7,26.1,nan,nan,nan,114.80,nan,nan,nan,nan,156.70
10-Feb-25 9:02:00 AM AEST,nan,84.2,nan,nan,nan,nan,114.70,nan,nan,nan,nan,155.80
10-Feb-25 9:02:04 AM AEST,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:03:00 AM AEST,nan,84.0,nan,nan,nan,nan,114.80,0.05,1.20,0.50,114.40,157.50
10-Feb-25 9:03:08 AM AEST,nan,nan,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:04:00 AM AEST,nan,83.8,nan,nan,nan,nan,114.70,0.01,nan,0.10,113.40,161.60
10-Feb-25 9:04:12 AM AEST,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:05:00 AM AEST,29.0,nan,nan,nan,nan,nan,nan,0.02,nan,0.20,114.20,168.30
10-Feb-25 9:05:16 AM AEST,nan,nan,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:06:00 AM AEST,nan,84.0,nan,nan,nan,nan,nan,0.00,0.00,0.00,0.00,174.20
10-Feb-25 9:06:20 AM AEST,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:06:57 AM AEST,29.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:07:00 AM AEST,nan,84.2,nan,nan,nan,nan,114.80,nan,nan,nan,nan,178.30
10-Feb-25 9:08:00 AM AEST,nan,nan,26.1,nan,nan,nan,114.60,0.12,2.40,1.20,114.70,181.70
10-Feb-25 9:08:54 AM AEST,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:08:54 AM AEST,29.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:09:00 AM AEST,nan,83.7,nan,nan,nan,nan,114.70,0.14,nan,1.40,nan,184.10
10-Feb-25 9:09:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
10-Feb-25 9:10:00 AM AEST,nan,83.2,26.0,nan,nan,nan,nan,0.00,nan,0.00,0.00,183.30
10-Feb-25 9:10:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan
10-Feb-25 9:10:51 AM AEST,29.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:11:00 AM AEST,nan,83.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,180.80
10-Feb-25 9:11:04 AM AEST,nan,nan,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:12:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.20
10-Feb-25 9:12:08 AM AEST,nan,nan,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:12:48 AM AEST,29.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:13:00 AM AEST,nan,83.8,nan,nan,nan,nan,114.80,nan,nan,nan,nan,nan
10-Feb-25 9:14:00 AM AEST,nan,83.5,26.2,nan,nan,nan,114.70,nan,nan,nan,nan,182.50
10-Feb-25 9:14:45 AM AEST,29.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:15:00 AM AEST,nan,83.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,181.70
10-Feb-25 9:16:00 AM AEST,nan,82.3,26.1,nan,nan,nan,114.80,nan,nan,nan,nan,176.60
10-Feb-25 9:16:42 AM AEST,29.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10-Feb-25 9:16:42 AM AEST,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
