timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
25-Aug-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.30,nan,nan,nan,nan,nan,nan
25-Aug-25 9:01:00 AM AEST,nan,70.7,19.4,nan,nan,nan,280.90,0.43,5.90,4.30,281.10,428.30
25-Aug-25 9:02:00 AM AEST,25.3,nan,nan,nan,nan,nan,288.30,0.46,7.10,nan,290.50,431.60
25-Aug-25 9:02:01 AM AEST,nan,70.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:02:04 AM AEST,nan,nan,19.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:03:00 AM AEST,nan,nan,nan,nan,nan,nan,13.00,0.54,nan,4.90,11.00,435.00
25-Aug-25 9:03:05 AM AEST,25.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:03:08 AM AEST,nan,nan,19.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:04:00 AM AEST,nan,70.5,nan,nan,nan,nan,335.90,0.76,11.80,7.30,324.70,437.40
25-Aug-25 9:04:12 AM AEST,nan,nan,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:04:12 AM AEST,nan,nan,19.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:05:00 AM AEST,nan,nan,nan,nan,nan,nan,11.20,0.51,10.60,4.20,0.70,439.20
25-Aug-25 9:05:01 AM AEST,nan,70.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:06:00 AM AEST,25.6,nan,nan,nan,nan,nan,11.10,0.19,4.70,1.10,345.80,423.30
25-Aug-25 9:06:02 AM AEST,nan,70.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:07:00 AM AEST,nan,nan,19.9,nan,nan,nan,269.80,0.54,7.10,4.90,268.20,444.20
25-Aug-25 9:07:03 AM AEST,nan,69.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:07:05 AM AEST,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:08:00 AM AEST,nan,nan,nan,nan,nan,nan,328.60,0.53,nan,5.20,328.60,448.30
25-Aug-25 9:08:04 AM AEST,nan,70.0,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:09:00 AM AEST,nan,nan,nan,nan,nan,nan,328.50,0.72,9.50,7.00,326.50,450.80
25-Aug-25 9:09:05 AM AEST,nan,69.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:09:05 AM AEST,nan,69.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:09:08 AM AEST,nan,nan,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:09:08 AM AEST,nan,nan,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:10:00 AM AEST,25.8,nan,nan,nan,nan,nan,325.30,0.51,8.30,4.80,320.60,454.20
25-Aug-25 9:10:06 AM AEST,nan,68.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:11:00 AM AEST,nan,nan,nan,nan,nan,nan,335.80,0.63,nan,4.10,342.10,462.40
25-Aug-25 9:11:07 AM AEST,nan,68.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:12:00 AM AEST,nan,nan,19.6,nan,nan,nan,44.20,0.49,7.10,3.20,31.20,208.30
25-Aug-25 9:12:08 AM AEST,nan,68.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:13:00 AM AEST,25.9,nan,nan,nan,nan,nan,322.50,0.54,nan,5.40,322.50,405.00
25-Aug-25 9:13:04 AM AEST,nan,nan,19.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:13:04 AM AEST,nan,nan,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
25-Aug-25 9:14:00 AM AEST,nan,68.0,nan,nan,nan,nan,268.40,0.52,9.50,4.90,268.60,436.60
25-Aug-25 9:15:00 AM AEST,nan,nan,19.5,nan,nan,nan,319.70,0.49,8.30,4.50,316.40,460.00
25-Aug-25 9:16:00 AM AEST,26.0,68.2,nan,nan,nan,nan,309.70,0.72,11.80,5.80,307.90,484.90
25-Aug-25 9:16:04 AM AEST,nan,nan,19.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
