timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
03-Feb-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.03,259.10,nan,nan,nan,nan,11.70
03-Feb-25 9:01:00 AM AEST,nan,nan,nan,nan,nan,nan,259.00,nan,nan,nan,nan,12.50
03-Feb-25 9:02:00 AM AEST,nan,97.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.70
03-Feb-25 9:03:05 AM AEST,nan,97.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:04:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.50
03-Feb-25 9:04:10 AM AEST,nan,97.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:05:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.70
03-Feb-25 9:05:15 AM AEST,nan,97.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.50
03-Feb-25 9:06:20 AM AEST,nan,97.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:07:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.70
03-Feb-25 9:07:25 AM AEST,nan,97.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:08:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.50
03-Feb-25 9:08:30 AM AEST,nan,97.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:09:00 AM AEST,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,nan,11.70
03-Feb-25 9:10:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.30
03-Feb-25 9:11:00 AM AEST,nan,nan,24.9,nan,nan,nan,259.10,nan,nan,nan,nan,14.20
03-Feb-25 9:12:00 AM AEST,nan,nan,nan,0.20,0.20,nan,nan,nan,nan,nan,nan,13.30
03-Feb-25 9:13:00 AM AEST,25.4,nan,25.0,nan,nan,nan,259.00,nan,nan,nan,nan,15.00
03-Feb-25 9:13:04 AM AEST,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:15:00 AM AEST,nan,nan,nan,nan,nan,nan,259.10,nan,nan,nan,nan,15.80
03-Feb-25 9:16:00 AM AEST,nan,nan,nan,nan,nan,nan,259.00,nan,nan,nan,nan,nan
03-Feb-25 9:17:00 AM AEST,nan,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.50
03-Feb-25 9:18:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.30
03-Feb-25 9:18:05 AM AEST,nan,97.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Feb-25 9:19:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.20
03-Feb-25 9:20:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.00
