timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
22-Jan-24 9:00:00 AM AEST,30.1,80.7,nan,nan,nan,0.25,308.10,nan,nan,nan,nan,256.70
22-Jan-24 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,255.80
22-Jan-24 9:01:05 AM AEST,nan,80.8,nan,nan,nan,nan,308.20,nan,nan,nan,nan,nan
22-Jan-24 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.10
22-Jan-24 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,308.10,nan,nan,nan,nan,nan
22-Jan-24 9:03:00 AM AEST,30.2,80.5,26.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.50
22-Jan-24 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,251.60
22-Jan-24 9:05:00 AM AEST,nan,nan,nan,nan,nan,nan,308.20,0.01,1.20,0.10,307.60,nan
22-Jan-24 9:05:00 AM AEST,nan,nan,nan,nan,nan,nan,308.10,0.01,0.00,0.10,307.60,nan
22-Jan-24 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,251.70
22-Jan-24 9:06:00 AM AEST,nan,80.3,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:06:00 AM AEST,nan,80.3,26.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:06:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.00,nan,nan,nan,nan
22-Jan-24 9:06:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00,0.00,nan
22-Jan-24 9:06:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,253.30
22-Jan-24 9:07:05 AM AEST,nan,80.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:07:05 AM AEST,nan,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:07:28 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.10
22-Jan-24 9:08:00 AM AEST,30.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:08:10 AM AEST,nan,79.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:08:32 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,255.80
22-Jan-24 9:09:00 AM AEST,nan,nan,26.4,nan,nan,nan,nan,0.14,2.40,1.40,308.10,nan
22-Jan-24 9:09:06 AM AEST,30.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:09:15 AM AEST,nan,80.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:09:36 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,257.40
22-Jan-24 9:10:05 AM AEST,nan,nan,26.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:10:20 AM AEST,nan,81.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:10:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,259.20
22-Jan-24 9:11:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.01,1.20,0.10,307.60,nan
22-Jan-24 9:11:10 AM AEST,nan,nan,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:11:25 AM AEST,nan,82.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:11:44 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.00
22-Jan-24 9:12:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.04,nan,nan,nan,nan
22-Jan-24 9:12:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40,308.00,nan
22-Jan-24 9:12:15 AM AEST,nan,nan,26.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:12:15 AM AEST,nan,nan,26.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:12:30 AM AEST,nan,81.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:12:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,262.40
22-Jan-24 9:13:00 AM AEST,30.3,nan,nan,nan,nan,nan,308.20,nan,3.50,nan,nan,nan
22-Jan-24 9:13:00 AM AEST,30.2,nan,nan,nan,nan,nan,308.00,nan,3.50,nan,nan,nan
22-Jan-24 9:13:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan,nan,nan
22-Jan-24 9:13:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.20,nan,nan,nan,nan
22-Jan-24 9:13:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10,307.60,nan
22-Jan-24 9:13:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00,308.00,nan
22-Jan-24 9:13:20 AM AEST,nan,nan,26.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:13:35 AM AEST,nan,81.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22-Jan-24 9:13:52 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,265.00
