timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
03-Nov-25 12:00:00 AM AEST,24.4,93.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
03-Nov-25 12:01:00 AM AEST,nan,93.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:02:00 AM AEST,24.3,93.2,23.1,nan,nan,nan,nan,0.01,1.20,0.10,86.40,nan
03-Nov-25 12:02:00 AM AEST,24.4,93.2,23.1,nan,nan,nan,nan,0.01,1.20,0.10,86.40,nan
03-Nov-25 12:03:00 AM AEST,nan,nan,nan,nan,nan,nan,85.10,0.00,nan,0.00,0.00,nan
03-Nov-25 12:03:01 AM AEST,nan,nan,23.2,nan,nan,nan,nan,nan,0.00,nan,nan,nan
03-Nov-25 12:04:00 AM AEST,24.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:05:00 AM AEST,nan,nan,nan,nan,nan,nan,85.20,nan,nan,nan,nan,nan
03-Nov-25 12:06:00 AM AEST,nan,93.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:07:00 AM AEST,nan,93.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:08:00 AM AEST,nan,93.3,23.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:12:00 AM AEST,24.2,nan,nan,nan,nan,nan,85.10,nan,nan,nan,nan,nan
03-Nov-25 12:13:00 AM AEST,nan,93.5,nan,nan,nan,nan,85.20,nan,nan,nan,nan,nan
03-Nov-25 12:13:04 AM AEST,24.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:14:00 AM AEST,nan,93.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:15:00 AM AEST,nan,93.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:16:00 AM AEST,24.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:17:00 AM AEST,nan,nan,nan,nan,nan,nan,85.10,nan,nan,nan,nan,nan
03-Nov-25 12:18:00 AM AEST,nan,nan,nan,nan,nan,nan,85.20,nan,nan,nan,nan,nan
03-Nov-25 12:22:00 AM AEST,nan,93.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:23:00 AM AEST,nan,93.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:24:00 AM AEST,24.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:25:00 AM AEST,nan,93.7,nan,nan,nan,nan,85.10,nan,nan,nan,nan,nan
03-Nov-25 12:26:00 AM AEST,nan,nan,23.2,nan,nan,nan,85.20,nan,nan,nan,nan,nan
03-Nov-25 12:28:00 AM AEST,nan,93.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.80
03-Nov-25 12:29:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
03-Nov-25 12:31:00 AM AEST,nan,94.0,nan,nan,nan,nan,85.10,nan,nan,nan,nan,nan
03-Nov-25 12:31:00 AM AEST,nan,94.0,nan,nan,nan,nan,85.20,nan,nan,nan,nan,nan
03-Nov-25 12:32:00 AM AEST,nan,93.8,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:33:01 AM AEST,nan,nan,23.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
03-Nov-25 12:34:00 AM AEST,nan,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
