timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
23-Jun-25 9:28:00 AM AEST,nan,75.0,21.1,nan,nan,nan,19.10,0.38,7.10,3.80,20.30,392.50
23-Jun-25 9:28:18 AM AEST,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:29:00 AM AEST,nan,75.2,nan,nan,nan,nan,16.00,0.37,5.90,3.20,14.40,390.80
23-Jun-25 9:30:00 AM AEST,nan,74.5,21.3,nan,nan,nan,292.40,0.75,15.40,7.10,296.50,389.20
23-Jun-25 9:31:00 AM AEST,nan,74.2,nan,nan,nan,nan,317.80,0.80,10.60,7.90,317.30,387.50
23-Jun-25 9:31:04 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:32:00 AM AEST,25.9,73.5,nan,nan,nan,nan,310.00,0.57,8.30,5.40,305.80,389.10
23-Jun-25 9:32:08 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:33:00 AM AEST,nan,nan,nan,nan,nan,nan,254.10,0.49,7.10,4.30,255.10,393.30
23-Jun-25 9:33:06 AM AEST,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:33:12 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:34:00 AM AEST,nan,74.2,nan,nan,nan,nan,297.30,0.48,8.30,4.70,294.40,394.90
23-Jun-25 9:34:16 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:35:00 AM AEST,26.2,74.7,nan,nan,nan,nan,332.70,0.44,7.10,3.70,336.60,397.50
23-Jun-25 9:35:20 AM AEST,nan,nan,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:36:00 AM AEST,nan,74.2,nan,nan,nan,nan,329.00,0.87,14.20,6.30,336.10,401.70
23-Jun-25 9:36:24 AM AEST,nan,nan,21.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:36:24 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:37:00 AM AEST,nan,73.7,nan,nan,nan,nan,258.80,0.57,8.30,5.50,261.40,405.80
23-Jun-25 9:37:28 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:38:00 AM AEST,nan,73.0,nan,nan,nan,nan,302.70,0.88,16.60,8.00,304.30,407.50
23-Jun-25 9:38:32 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:39:00 AM AEST,26.1,72.8,nan,nan,nan,nan,311.40,nan,nan,8.40,314.10,409.90
23-Jun-25 9:39:36 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:40:00 AM AEST,nan,73.0,nan,nan,nan,nan,352.30,0.78,14.20,7.00,356.80,411.70
23-Jun-25 9:41:00 AM AEST,26.2,73.2,nan,nan,nan,nan,0.70,0.57,8.30,5.70,1.10,nan
23-Jun-25 9:42:00 AM AEST,nan,73.3,21.0,nan,nan,nan,300.40,0.47,7.10,4.20,296.10,413.30
23-Jun-25 9:42:06 AM AEST,26.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:43:00 AM AEST,nan,72.8,nan,nan,nan,nan,279.40,0.54,8.30,5.40,278.70,415.00
23-Jun-25 9:43:04 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:44:00 AM AEST,26.5,73.5,nan,nan,nan,nan,334.80,0.38,7.10,2.90,333.30,415.80
23-Jun-25 9:44:08 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:45:00 AM AEST,nan,73.3,nan,nan,nan,nan,305.60,0.50,11.80,4.80,309.20,417.50
23-Jun-25 9:45:06 AM AEST,26.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:45:12 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:46:00 AM AEST,nan,72.8,nan,nan,nan,nan,358.50,0.51,nan,4.70,352.70,418.30
23-Jun-25 9:46:16 AM AEST,nan,nan,21.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:46:16 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:47:00 AM AEST,26.7,nan,nan,nan,nan,nan,318.30,0.36,7.10,3.40,318.00,422.50
23-Jun-25 9:48:00 AM AEST,nan,72.2,21.4,nan,nan,nan,0.60,0.31,4.70,2.00,351.10,430.80
23-Jun-25 9:48:06 AM AEST,26.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:49:00 AM AEST,nan,nan,nan,nan,nan,nan,340.10,0.54,8.30,4.30,345.80,436.60
23-Jun-25 9:49:04 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:50:00 AM AEST,nan,71.8,nan,nan,nan,nan,308.90,0.78,14.20,6.50,310.50,440.80
23-Jun-25 9:50:08 AM AEST,nan,nan,21.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:51:00 AM AEST,26.7,71.3,nan,nan,nan,nan,342.60,1.25,17.80,11.90,341.20,444.90
23-Jun-25 9:51:12 AM AEST,nan,nan,21.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:51:12 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:52:00 AM AEST,nan,70.3,nan,nan,nan,nan,324.20,1.14,18.90,9.20,321.10,451.70
23-Jun-25 9:52:06 AM AEST,26.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:52:06 AM AEST,26.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:52:16 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:53:00 AM AEST,nan,70.2,nan,nan,nan,nan,316.80,0.88,16.60,7.60,319.10,460.00
23-Jun-25 9:53:12 AM AEST,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
