timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
13-Feb-23 9:00:00 AM AEST,29.8,33.5,11.4,nan,nan,0.30,279.40,0.52,8.30,5.20,278.60,293.30
13-Feb-23 9:01:05 AM AEST,nan,34.8,12.0,nan,nan,nan,282.30,0.19,nan,1.90,282.30,300.80
13-Feb-23 9:01:06 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
13-Feb-23 9:02:10 AM AEST,nan,34.7,12.6,nan,nan,nan,282.20,nan,nan,nan,282.10,315.80
13-Feb-23 9:02:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
13-Feb-23 9:03:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.13,nan,1.30,nan,nan
13-Feb-23 9:03:15 AM AEST,nan,35.0,12.5,nan,nan,nan,282.10,nan,nan,nan,281.80,413.30
13-Feb-23 9:03:18 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan
13-Feb-23 9:04:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.27,nan,2.70,nan,nan
13-Feb-23 9:04:20 AM AEST,nan,35.2,12.7,nan,nan,nan,281.80,nan,nan,nan,281.70,346.70
13-Feb-23 9:04:24 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,4.70,nan,nan,nan
13-Feb-23 9:05:00 AM AEST,29.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13-Feb-23 9:05:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.04,nan,0.40,nan,nan
13-Feb-23 9:05:25 AM AEST,nan,34.5,12.8,nan,nan,nan,nan,nan,nan,nan,281.60,345.00
13-Feb-23 9:05:30 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,nan,nan,nan
13-Feb-23 9:06:06 AM AEST,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
