timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
01-Nov-21 9:00:00 AM AEST,nan,43.7,17.3,nan,nan,0.43,215.70,0.75,14.20,7.20,217.40,676.60
01-Nov-21 9:00:00 AM AEST,nan,43.7,17.4,nan,nan,0.65,229.90,0.55,10.60,4.90,234.40,785.00
01-Nov-21 9:01:00 AM AEST,31.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:01:04 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.30,288.90,820.70
01-Nov-21 9:01:05 AM AEST,nan,nan,nan,nan,nan,nan,282.40,0.65,9.50,nan,nan,nan
01-Nov-21 9:02:00 AM AEST,nan,45.2,17.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:02:05 AM AEST,31.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:02:08 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.00,292.90,563.30
01-Nov-21 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,290.20,1.11,17.80,nan,nan,nan
01-Nov-21 9:03:05 AM AEST,nan,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:03:06 AM AEST,nan,nan,18.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:03:10 AM AEST,31.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.00,309.40,829.20
01-Nov-21 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,311.60,0.95,16.60,nan,nan,nan
01-Nov-21 9:04:10 AM AEST,nan,46.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:04:12 AM AEST,nan,nan,18.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:04:16 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.30,286.00,829.10
01-Nov-21 9:04:20 AM AEST,nan,nan,nan,nan,nan,nan,279.30,0.80,nan,nan,nan,nan
01-Nov-21 9:05:15 AM AEST,nan,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:05:18 AM AEST,nan,nan,18.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
01-Nov-21 9:05:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.20,277.50,820.80
01-Nov-21 9:05:25 AM AEST,nan,nan,nan,nan,nan,nan,277.60,1.17,nan,nan,nan,nan
01-Nov-21 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,18.90,nan,nan,nan
01-Nov-21 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,11.80,nan,nan,nan
01-Nov-21 9:06:20 AM AEST,nan,45.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
