timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
20-Feb-23 9:00:00 AM AEST,29.3,31.7,10.8,nan,nan,0.50,351.20,0.47,nan,4.50,351.70,592.40
20-Feb-23 9:00:57 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,566.70
20-Feb-23 9:01:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,10.60,nan,nan,nan
20-Feb-23 9:01:05 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.49,nan,nan,341.80,nan
20-Feb-23 9:01:06 AM AEST,nan,nan,nan,nan,nan,nan,355.30,nan,nan,4.00,nan,nan
20-Feb-23 9:01:07 AM AEST,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:01:54 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,626.70
20-Feb-23 9:02:00 AM AEST,nan,33.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:02:06 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,11.80,nan,nan,nan
20-Feb-23 9:02:10 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.73,nan,nan,332.50,nan
20-Feb-23 9:02:12 AM AEST,nan,nan,nan,nan,nan,nan,330.90,nan,nan,7.20,nan,nan
20-Feb-23 9:02:14 AM AEST,29.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:02:51 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,629.90
20-Feb-23 9:03:00 AM AEST,nan,nan,11.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:03:06 AM AEST,nan,34.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:03:12 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan
20-Feb-23 9:03:15 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.63,nan,nan,343.00,nan
20-Feb-23 9:03:18 AM AEST,nan,nan,nan,nan,nan,nan,344.00,nan,nan,5.50,nan,nan
20-Feb-23 9:03:21 AM AEST,29.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20-Feb-23 9:03:48 AM AEST,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,568.30
