timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
24-Feb-25 9:00:00 AM AEST,30.2,63.5,22.2,nan,nan,0.46,326.40,0.41,8.30,3.60,315.00,507.50
24-Feb-25 9:01:00 AM AEST,nan,62.8,22.5,nan,nan,nan,294.80,0.66,10.60,6.40,293.30,511.60
24-Feb-25 9:02:00 AM AEST,nan,62.0,22.3,nan,nan,nan,316.40,0.63,nan,6.00,315.40,517.50
24-Feb-25 9:03:00 AM AEST,nan,62.2,22.1,nan,nan,nan,326.20,0.41,7.10,4.00,323.70,520.80
24-Feb-25 9:04:00 AM AEST,30.3,62.5,nan,nan,nan,nan,10.80,0.36,4.70,3.60,11.30,522.40
24-Feb-25 9:05:00 AM AEST,nan,nan,22.4,nan,nan,nan,348.10,0.46,8.30,2.90,340.50,525.00
24-Feb-25 9:05:05 AM AEST,30.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:06:00 AM AEST,nan,62.3,nan,nan,nan,nan,342.30,0.38,nan,3.00,324.90,527.40
24-Feb-25 9:07:00 AM AEST,30.6,63.0,nan,nan,nan,nan,1.30,0.22,4.70,2.10,1.60,535.00
24-Feb-25 9:08:00 AM AEST,nan,nan,22.7,nan,nan,nan,322.50,0.44,9.50,4.00,320.60,536.70
24-Feb-25 9:09:00 AM AEST,nan,61.5,22.8,nan,nan,nan,282.40,0.75,13.00,7.30,279.70,537.40
24-Feb-25 9:10:00 AM AEST,30.5,60.8,22.4,nan,nan,nan,302.80,0.73,nan,6.50,305.00,539.20
24-Feb-25 9:11:00 AM AEST,nan,60.5,22.0,nan,nan,nan,307.50,1.09,16.60,9.70,308.10,542.40
24-Feb-25 9:11:05 AM AEST,30.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:12:00 AM AEST,nan,60.2,21.8,nan,nan,nan,302.70,nan,nan,9.80,303.30,547.50
24-Feb-25 9:12:10 AM AEST,30.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:13:00 AM AEST,nan,61.0,21.5,nan,nan,nan,301.80,0.82,11.80,6.90,300.60,548.30
24-Feb-25 9:14:00 AM AEST,30.2,61.7,21.7,nan,nan,nan,294.60,0.80,16.60,7.40,296.00,549.90
24-Feb-25 9:15:00 AM AEST,nan,61.2,22.0,nan,nan,nan,300.20,0.98,13.00,6.00,302.80,554.20
24-Feb-25 9:15:05 AM AEST,30.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:16:00 AM AEST,nan,60.8,21.8,nan,nan,nan,337.00,0.60,11.80,5.30,336.80,554.90
24-Feb-25 9:17:00 AM AEST,30.2,61.5,21.7,nan,nan,nan,348.80,0.69,15.40,6.70,345.70,506.70
24-Feb-25 9:18:00 AM AEST,nan,61.0,21.9,nan,nan,nan,352.40,0.77,13.00,6.90,350.20,523.30
24-Feb-25 9:18:05 AM AEST,30.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:19:00 AM AEST,nan,nan,nan,nan,nan,nan,9.20,0.55,7.10,5.00,8.60,570.80
24-Feb-25 9:19:10 AM AEST,30.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:20:00 AM AEST,nan,61.7,22.0,nan,nan,nan,323.70,0.49,nan,4.00,328.50,564.20
24-Feb-25 9:21:00 AM AEST,nan,60.5,22.2,nan,nan,nan,308.30,0.81,11.80,7.70,308.10,565.80
24-Feb-25 9:22:00 AM AEST,nan,60.8,21.9,nan,nan,nan,311.30,0.59,10.60,5.70,nan,572.50
24-Feb-25 9:23:00 AM AEST,30.5,60.2,22.0,nan,nan,nan,297.80,0.40,7.10,4.00,298.20,573.30
24-Feb-25 9:24:00 AM AEST,nan,60.5,21.9,nan,nan,nan,283.30,0.67,17.80,6.40,272.90,nan
24-Feb-25 9:24:05 AM AEST,30.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:25:00 AM AEST,nan,60.0,22.1,nan,nan,nan,282.10,0.73,13.00,6.50,282.60,583.30
24-Feb-25 9:25:10 AM AEST,30.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:26:00 AM AEST,nan,nan,21.8,nan,nan,nan,285.60,0.93,20.10,9.10,284.50,586.60
24-Feb-25 9:26:15 AM AEST,30.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:27:00 AM AEST,nan,59.8,nan,nan,nan,nan,296.60,0.85,nan,7.80,299.20,591.70
24-Feb-25 9:28:00 AM AEST,nan,60.2,21.7,nan,nan,nan,319.20,0.69,9.50,6.60,322.10,594.10
24-Feb-25 9:29:00 AM AEST,nan,59.8,21.8,nan,nan,nan,310.00,0.77,10.60,7.20,308.20,377.50
24-Feb-25 9:30:00 AM AEST,nan,nan,21.7,nan,nan,nan,329.90,0.78,11.80,7.70,330.20,584.20
24-Feb-25 9:31:00 AM AEST,nan,60.0,nan,nan,nan,nan,34.80,0.88,14.20,8.40,36.00,599.10
24-Feb-25 9:32:00 AM AEST,nan,60.7,nan,nan,nan,nan,4.50,0.56,10.60,2.80,356.10,597.50
24-Feb-25 9:33:00 AM AEST,30.5,61.0,21.9,nan,nan,nan,17.40,0.81,14.20,6.10,15.40,600.80
24-Feb-25 9:34:00 AM AEST,nan,60.2,22.1,nan,nan,nan,333.20,0.82,13.00,7.70,334.70,587.50
24-Feb-25 9:34:05 AM AEST,30.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:35:00 AM AEST,nan,60.0,21.8,nan,nan,nan,0.90,0.40,10.60,3.90,356.70,540.80
24-Feb-25 9:35:10 AM AEST,30.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:36:00 AM AEST,nan,59.2,21.9,nan,nan,nan,324.80,0.62,13.00,5.90,320.40,604.10
24-Feb-25 9:37:00 AM AEST,nan,59.3,21.7,nan,nan,nan,327.30,0.78,10.60,6.70,327.40,612.50
24-Feb-25 9:38:00 AM AEST,nan,59.2,21.8,nan,nan,nan,357.80,0.51,9.50,4.50,348.60,616.60
24-Feb-25 9:39:00 AM AEST,30.8,59.7,21.7,nan,nan,nan,327.50,0.43,nan,3.90,323.00,618.30
24-Feb-25 9:40:00 AM AEST,nan,59.5,22.0,nan,nan,nan,331.20,0.38,8.30,3.80,329.40,nan
24-Feb-25 9:41:00 AM AEST,31.0,nan,nan,nan,nan,nan,340.80,0.18,3.50,1.60,343.50,622.40
24-Feb-25 9:42:00 AM AEST,nan,59.0,22.2,nan,nan,nan,355.10,0.37,8.30,2.90,8.30,627.50
24-Feb-25 9:42:05 AM AEST,31.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:43:00 AM AEST,nan,58.8,22.1,nan,nan,nan,323.30,0.82,14.20,7.40,323.50,629.90
24-Feb-25 9:43:10 AM AEST,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:44:00 AM AEST,nan,57.8,22.0,nan,nan,nan,349.90,0.65,11.80,6.30,354.20,629.20
24-Feb-25 9:44:15 AM AEST,30.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:45:00 AM AEST,nan,58.0,21.7,nan,nan,nan,298.40,0.42,8.30,3.80,303.00,634.20
24-Feb-25 9:45:20 AM AEST,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:45:20 AM AEST,30.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:46:00 AM AEST,nan,57.3,21.8,nan,nan,nan,296.20,0.98,17.80,9.10,291.50,644.10
24-Feb-25 9:46:25 AM AEST,30.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:47:00 AM AEST,nan,58.2,21.4,nan,nan,nan,315.20,0.64,10.60,3.90,318.40,648.30
24-Feb-25 9:47:30 AM AEST,30.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:48:00 AM AEST,nan,57.8,21.7,nan,nan,nan,330.00,0.82,14.20,8.10,330.30,601.60
24-Feb-25 9:49:00 AM AEST,nan,57.7,21.6,nan,nan,nan,314.70,0.67,11.80,6.30,312.10,626.70
24-Feb-25 9:50:00 AM AEST,nan,57.8,21.5,nan,nan,nan,318.60,0.53,7.10,3.80,324.90,650.80
24-Feb-25 9:51:00 AM AEST,31.0,58.7,21.6,nan,nan,nan,311.50,0.64,11.80,5.30,311.30,660.80
24-Feb-25 9:52:00 AM AEST,nan,58.5,21.9,nan,nan,nan,270.20,0.63,8.30,6.00,272.30,663.30
24-Feb-25 9:53:00 AM AEST,31.1,58.7,nan,nan,nan,nan,308.50,0.50,7.10,3.70,310.90,666.60
24-Feb-25 9:54:00 AM AEST,nan,58.3,22.0,nan,nan,nan,298.10,0.44,9.50,4.20,293.60,671.70
24-Feb-25 9:54:05 AM AEST,31.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:55:00 AM AEST,nan,57.3,nan,nan,nan,nan,285.00,0.57,11.80,5.50,289.30,673.30
24-Feb-25 9:56:00 AM AEST,31.1,56.7,21.8,nan,nan,nan,314.40,1.16,18.90,11.40,314.70,677.40
24-Feb-25 9:57:00 AM AEST,nan,57.0,21.4,nan,nan,nan,307.50,0.89,14.20,8.60,308.30,683.30
24-Feb-25 9:57:05 AM AEST,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 9:58:00 AM AEST,nan,56.7,nan,nan,nan,nan,309.30,0.93,nan,8.30,308.60,686.60
24-Feb-25 9:59:00 AM AEST,nan,57.8,21.3,nan,nan,nan,342.30,0.39,7.10,2.80,332.30,693.30
24-Feb-25 10:00:00 AM AEST,31.2,58.2,21.7,nan,nan,nan,336.50,0.63,15.40,5.70,328.70,704.20
24-Feb-25 10:00:01 AM AEST,nan,nan,nan,nan,nan,0.57,nan,nan,nan,nan,nan,nan
24-Feb-25 10:01:00 AM AEST,nan,57.3,22.0,nan,nan,nan,302.80,0.71,14.20,6.00,309.30,708.20
24-Feb-25 10:02:00 AM AEST,nan,57.2,21.8,nan,nan,nan,313.00,0.89,15.40,8.30,316.10,708.30
24-Feb-25 10:03:00 AM AEST,31.3,57.7,21.7,nan,nan,nan,288.00,0.66,9.50,6.00,283.70,709.90
24-Feb-25 10:04:00 AM AEST,nan,58.0,21.9,nan,nan,nan,293.10,0.73,15.40,nan,295.70,711.70
24-Feb-25 10:05:00 AM AEST,nan,57.3,22.0,nan,nan,nan,309.60,0.64,16.60,6.10,301.40,709.20
24-Feb-25 10:06:00 AM AEST,31.4,57.7,21.9,nan,nan,nan,312.40,0.76,14.20,5.80,311.00,709.90
24-Feb-25 10:07:00 AM AEST,nan,56.5,22.0,nan,nan,nan,313.20,0.80,11.80,7.70,315.30,705.00
24-Feb-25 10:07:05 AM AEST,31.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 10:08:00 AM AEST,nan,57.3,21.5,nan,nan,nan,313.60,0.34,5.90,2.90,309.10,696.60
24-Feb-25 10:08:10 AM AEST,31.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 10:09:00 AM AEST,nan,57.8,21.8,nan,nan,nan,346.80,0.51,10.60,4.10,355.20,704.20
24-Feb-25 10:09:15 AM AEST,31.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 10:10:00 AM AEST,nan,57.3,22.1,nan,nan,nan,3.50,0.73,nan,6.80,1.60,712.50
24-Feb-25 10:10:20 AM AEST,31.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24-Feb-25 10:11:00 AM AEST,nan,nan,21.9,nan,nan,nan,12.80,0.46,7.10,4.20,11.10,708.20
24-Feb-25 10:11:25 AM AEST,31.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
