timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
07-Jul-25 9:00:00 AM AEST,nan,nan,nan,nan,nan,0.19,nan,nan,nan,nan,nan,nan
07-Jul-25 9:01:00 AM AEST,25.7,73.2,20.5,nan,nan,nan,322.60,0.34,5.90,3.30,321.30,215.80
07-Jul-25 9:01:00 AM AEST,25.8,73.0,20.5,nan,nan,nan,327.60,0.19,3.50,1.90,327.60,262.40
07-Jul-25 9:02:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,0.01,1.20,0.10,326.30,180.00
07-Jul-25 9:02:38 AM AEST,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:03:00 AM AEST,nan,72.7,20.6,nan,nan,nan,nan,nan,nan,nan,330.30,170.00
07-Jul-25 9:04:00 AM AEST,nan,nan,nan,nan,nan,nan,314.20,0.37,7.10,3.60,310.40,177.50
07-Jul-25 9:04:04 AM AEST,nan,72.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:04:16 AM AEST,25.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:05:00 AM AEST,nan,nan,20.5,nan,nan,nan,307.30,0.17,3.50,1.70,307.40,166.70
07-Jul-25 9:05:08 AM AEST,nan,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:05:54 AM AEST,25.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:06:00 AM AEST,nan,nan,nan,nan,nan,nan,313.40,0.23,4.70,2.30,318.60,166.60
07-Jul-25 9:06:04 AM AEST,nan,nan,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:07:00 AM AEST,nan,72.2,nan,nan,nan,nan,320.70,0.35,nan,3.50,320.70,181.70
07-Jul-25 9:07:08 AM AEST,nan,nan,20.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
07-Jul-25 9:07:08 AM AEST,nan,nan,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
