timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
17-Jul-24 5:00:00 PM AEST,nan,nan,12.3,nan,nan,0.14,nan,nan,5.90,3.90,52.00,nan
17-Jul-24 5:29:00 PM AEST,18.0,73.3,nan,nan,nan,nan,85.30,0.01,nan,nan,nan,5.00
17-Jul-24 5:34:56 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,3.50,1.80,84.30,nan
17-Jul-24 5:34:56 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,1.20,0.10,86.40,nan
17-Jul-24 5:44:00 PM AEST,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 5:44:00 PM AEST,nan,nan,13.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 5:58:54 PM AEST,16.5,80.0,nan,nan,nan,nan,85.50,0.00,nan,nan,nan,0.00
17-Jul-24 6:04:50 PM AEST,nan,nan,nan,nan,nan,0.02,nan,nan,nan,nan,nan,nan
17-Jul-24 6:06:27 PM AEST,nan,nan,12.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 6:06:27 PM AEST,nan,nan,13.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 6:09:52 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,2.40,2.10,85.60,nan
17-Jul-24 6:09:52 PM AEST,nan,nan,nan,nan,nan,nan,nan,nan,0.00,0.00,0.00,nan
17-Jul-24 6:28:48 PM AEST,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 6:28:54 PM AEST,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 6:51:21 PM AEST,nan,nan,12.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 6:58:42 PM AEST,14.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 7:00:00 PM AEST,nan,85.7,nan,nan,nan,nan,85.60,nan,nan,nan,nan,nan
17-Jul-24 7:09:40 PM AEST,nan,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,nan
17-Jul-24 7:09:40 PM AEST,nan,nan,nan,nan,nan,65.53,nan,nan,nan,nan,nan,nan
17-Jul-24 7:13:48 PM AEST,nan,nan,12.4,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 8:00:00 PM AEST,nan,nan,12.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Jul-24 8:00:00 PM AEST,nan,nan,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
