timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
17-Nov-25 12:00:00 AM AEST,nan,nan,24.0,nan,nan,nan,nan,nan,nan,nan,nan,0.00
17-Nov-25 12:00:00 AM AEST,nan,nan,24.1,nan,nan,nan,nan,nan,nan,nan,nan,0.00
17-Nov-25 12:01:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:02:00 AM AEST,nan,90.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:03:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:07:00 AM AEST,nan,90.2,24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:08:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:08:05 AM AEST,nan,nan,24.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:09:00 AM AEST,nan,90.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:09:10 AM AEST,nan,nan,24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:10:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.80
17-Nov-25 12:11:00 AM AEST,nan,90.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
17-Nov-25 12:14:00 AM AEST,25.7,89.8,nan,nan,nan,nan,nan,0.01,1.20,0.10,116.60,nan
17-Nov-25 12:15:00 AM AEST,nan,90.2,23.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:15:00 AM AEST,nan,90.2,24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17-Nov-25 12:16:00 AM AEST,nan,90.0,nan,nan,nan,nan,nan,0.00,0.00,0.00,0.00,nan
17-Nov-25 12:17:00 AM AEST,nan,90.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
