timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
05-May-25 12:00:00 AM AEST,nan,nan,77.5,nan,3.70,3.35,nan,nan,335.90,44.10,24.90,nan
05-May-25 9:00:00 AM AEST,0.0,357.7,nan,13.80,nan,nan,3.80,10.80,nan,nan,nan,nan
05-May-25 9:10:40 AM AEST,nan,327.8,nan,nan,nan,nan,7.70,nan,nan,nan,nan,nan
05-May-25 9:21:20 AM AEST,nan,325.8,nan,nan,nan,nan,4.40,10.58,nan,nan,nan,nan
05-May-25 9:32:00 AM AEST,nan,4.0,nan,nan,nan,nan,5.60,nan,nan,nan,nan,nan
05-May-25 9:42:40 AM AEST,nan,300.1,nan,nan,nan,nan,7.90,nan,nan,nan,nan,nan
05-May-25 9:53:20 AM AEST,nan,12.4,nan,nan,nan,nan,6.50,nan,nan,nan,nan,nan
05-May-25 9:58:29 AM AEST,nan,nan,nan,33.60,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 10:00:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 10:04:00 AM AEST,nan,297.8,nan,nan,nan,nan,8.90,nan,nan,nan,nan,nan
05-May-25 10:14:40 AM AEST,nan,332.9,nan,nan,nan,nan,6.40,nan,nan,nan,nan,nan
05-May-25 10:21:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 10:25:20 AM AEST,nan,294.9,nan,nan,nan,nan,3.30,nan,nan,nan,nan,nan
05-May-25 10:36:00 AM AEST,nan,342.0,nan,nan,nan,nan,6.30,nan,nan,nan,nan,nan
05-May-25 10:42:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 10:46:40 AM AEST,nan,320.5,nan,nan,nan,nan,8.10,nan,nan,nan,nan,nan
05-May-25 10:56:58 AM AEST,nan,nan,nan,36.40,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 10:57:20 AM AEST,nan,315.1,nan,nan,nan,nan,1.50,nan,nan,nan,nan,nan
05-May-25 11:04:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 11:08:00 AM AEST,nan,301.0,nan,nan,nan,nan,5.60,nan,nan,nan,nan,nan
05-May-25 11:18:40 AM AEST,nan,282.6,nan,nan,nan,nan,6.40,nan,nan,nan,nan,nan
05-May-25 11:29:20 AM AEST,nan,356.9,nan,nan,nan,nan,3.00,nan,nan,nan,nan,nan
05-May-25 11:42:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 11:50:00 AM AEST,nan,313.9,nan,nan,nan,nan,3.80,nan,nan,nan,nan,nan
05-May-25 11:55:27 AM AEST,nan,nan,nan,35.50,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 12:00:40 PM AEST,nan,301.5,nan,nan,nan,nan,3.10,nan,nan,nan,nan,nan
05-May-25 12:11:20 PM AEST,nan,346.9,nan,nan,nan,nan,3.80,nan,nan,nan,nan,nan
05-May-25 12:21:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 12:21:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 12:22:00 PM AEST,nan,288.7,nan,nan,nan,nan,8.30,nan,nan,nan,nan,nan
05-May-25 12:32:40 PM AEST,nan,316.2,nan,nan,nan,nan,5.90,nan,nan,nan,nan,nan
05-May-25 12:42:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 12:43:20 PM AEST,nan,359.2,nan,nan,nan,nan,5.70,nan,nan,nan,nan,nan
05-May-25 12:53:56 PM AEST,nan,nan,nan,33.90,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 12:54:00 PM AEST,nan,313.3,nan,nan,nan,nan,6.30,nan,nan,nan,nan,nan
05-May-25 1:04:40 PM AEST,nan,42.4,nan,nan,nan,nan,3.00,nan,nan,nan,nan,nan
05-May-25 1:15:20 PM AEST,nan,1.7,nan,nan,nan,nan,5.90,nan,nan,nan,nan,nan
05-May-25 1:26:00 PM AEST,nan,9.1,nan,nan,nan,nan,3.70,nan,nan,nan,nan,nan
05-May-25 1:36:40 PM AEST,nan,310.6,nan,nan,nan,nan,10.20,nan,nan,nan,nan,nan
05-May-25 1:42:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 1:50:00 PM AEST,nan,300.1,nan,nan,nan,nan,7.50,nan,nan,nan,nan,nan
05-May-25 1:52:25 PM AEST,nan,nan,nan,31.10,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 2:00:40 PM AEST,nan,313.6,nan,nan,nan,nan,5.90,nan,nan,nan,nan,nan
05-May-25 2:03:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.15,nan,nan,nan,nan
05-May-25 2:11:20 PM AEST,nan,155.9,nan,nan,nan,nan,2.10,nan,nan,nan,nan,nan
05-May-25 2:22:00 PM AEST,nan,284.3,nan,nan,nan,nan,1.80,nan,nan,nan,nan,nan
05-May-25 2:24:40 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 2:32:40 PM AEST,nan,353.7,nan,nan,nan,nan,0.60,nan,nan,nan,nan,nan
05-May-25 2:43:20 PM AEST,nan,331.0,nan,nan,nan,nan,2.90,nan,nan,nan,nan,nan
05-May-25 2:46:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 2:50:54 PM AEST,nan,nan,nan,15.10,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 2:54:00 PM AEST,nan,308.4,nan,nan,nan,nan,5.50,nan,nan,nan,nan,nan
05-May-25 3:04:40 PM AEST,nan,348.7,nan,nan,nan,nan,3.80,nan,nan,nan,nan,nan
05-May-25 3:20:00 PM AEST,nan,300.9,nan,nan,nan,nan,7.60,nan,nan,nan,nan,nan
05-May-25 3:21:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 3:30:40 PM AEST,nan,334.4,nan,nan,nan,nan,6.20,nan,nan,nan,nan,nan
05-May-25 3:41:20 PM AEST,nan,292.7,nan,nan,nan,nan,7.20,nan,nan,nan,nan,nan
05-May-25 3:49:23 PM AEST,nan,nan,nan,18.00,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 3:52:00 PM AEST,nan,356.5,nan,nan,nan,nan,4.90,nan,nan,nan,nan,nan
05-May-25 4:10:00 PM AEST,nan,349.7,nan,nan,nan,nan,4.40,nan,nan,nan,nan,nan
05-May-25 4:20:40 PM AEST,nan,319.7,nan,nan,nan,nan,10.80,nan,nan,nan,nan,nan
05-May-25 4:31:20 PM AEST,nan,22.9,nan,nan,nan,nan,5.50,nan,nan,nan,nan,nan
05-May-25 4:42:00 PM AEST,nan,324.0,nan,nan,nan,nan,5.00,nan,nan,nan,nan,nan
05-May-25 4:47:52 PM AEST,nan,nan,nan,9.20,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 4:52:40 PM AEST,nan,324.3,nan,nan,nan,nan,9.30,nan,nan,nan,nan,nan
05-May-25 5:00:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 5:03:20 PM AEST,nan,4.9,nan,nan,nan,nan,6.80,nan,nan,nan,nan,nan
05-May-25 5:14:00 PM AEST,nan,341.2,nan,nan,nan,nan,4.50,nan,nan,nan,nan,nan
05-May-25 5:21:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 5:24:40 PM AEST,nan,325.4,nan,nan,nan,nan,4.20,nan,nan,nan,nan,nan
05-May-25 5:35:20 PM AEST,nan,1.9,nan,nan,nan,nan,3.70,nan,nan,nan,nan,nan
05-May-25 5:46:00 PM AEST,nan,15.8,nan,nan,nan,nan,8.80,nan,nan,nan,nan,nan
05-May-25 5:46:21 PM AEST,nan,nan,nan,3.70,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 5:56:40 PM AEST,nan,346.5,nan,nan,nan,nan,7.50,nan,nan,nan,nan,nan
05-May-25 6:00:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 6:10:00 PM AEST,nan,349.7,nan,nan,nan,nan,4.40,nan,nan,nan,nan,nan
05-May-25 6:20:40 PM AEST,nan,29.5,nan,nan,nan,nan,4.90,nan,nan,nan,nan,nan
05-May-25 6:21:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 6:31:20 PM AEST,nan,285.8,nan,nan,nan,nan,1.80,nan,nan,nan,nan,nan
05-May-25 6:44:50 PM AEST,nan,nan,nan,2.10,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 6:50:00 PM AEST,nan,308.5,nan,nan,nan,nan,7.70,nan,nan,nan,nan,nan
05-May-25 7:00:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 7:00:40 PM AEST,nan,337.3,nan,nan,nan,nan,6.20,nan,nan,nan,nan,nan
05-May-25 7:11:20 PM AEST,nan,301.2,nan,nan,nan,nan,3.20,nan,nan,nan,nan,nan
05-May-25 7:22:00 PM AEST,nan,310.6,nan,nan,nan,nan,0.50,nan,nan,nan,nan,nan
05-May-25 7:32:40 PM AEST,nan,314.6,nan,nan,nan,nan,9.70,nan,nan,nan,nan,nan
05-May-25 7:42:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 7:43:19 PM AEST,nan,nan,nan,2.40,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 7:43:20 PM AEST,nan,348.0,nan,nan,nan,nan,5.80,nan,nan,nan,nan,nan
05-May-25 7:54:00 PM AEST,nan,333.5,nan,nan,nan,nan,4.40,nan,nan,nan,nan,nan
05-May-25 8:03:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 8:03:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 8:04:40 PM AEST,nan,349.1,nan,nan,nan,nan,6.10,nan,nan,nan,nan,nan
05-May-25 8:15:20 PM AEST,nan,328.3,nan,nan,nan,nan,2.40,nan,nan,nan,nan,nan
05-May-25 8:24:40 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 8:26:00 PM AEST,nan,322.4,nan,nan,nan,nan,5.10,nan,nan,nan,nan,nan
05-May-25 8:36:40 PM AEST,nan,350.3,nan,nan,nan,nan,0.90,nan,nan,nan,nan,nan
05-May-25 8:41:48 PM AEST,nan,nan,nan,1.80,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 8:50:00 PM AEST,nan,70.5,nan,nan,nan,nan,1.90,nan,nan,nan,nan,nan
05-May-25 9:00:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 9:00:40 PM AEST,nan,326.0,nan,nan,nan,nan,3.90,nan,nan,nan,nan,nan
05-May-25 9:11:20 PM AEST,nan,353.3,nan,nan,nan,nan,3.20,nan,nan,nan,nan,nan
05-May-25 9:22:00 PM AEST,nan,7.3,nan,nan,nan,nan,4.10,nan,nan,nan,nan,nan
05-May-25 9:32:40 PM AEST,nan,348.7,nan,nan,nan,nan,2.40,nan,nan,nan,nan,nan
05-May-25 9:40:17 PM AEST,nan,nan,nan,1.10,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 9:42:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 9:43:20 PM AEST,nan,12.6,nan,nan,nan,nan,7.80,nan,nan,nan,nan,nan
05-May-25 9:54:00 PM AEST,nan,28.5,nan,nan,nan,nan,1.80,nan,nan,nan,nan,nan
05-May-25 10:03:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 10:03:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 10:04:40 PM AEST,nan,47.3,nan,nan,nan,nan,6.20,nan,nan,nan,nan,nan
05-May-25 10:20:00 PM AEST,nan,280.6,nan,nan,nan,nan,1.70,nan,nan,nan,nan,nan
05-May-25 10:24:40 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 10:30:40 PM AEST,nan,292.7,nan,nan,nan,nan,2.10,nan,nan,nan,nan,nan
05-May-25 10:38:46 PM AEST,nan,nan,nan,1.20,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 10:41:20 PM AEST,nan,348.8,nan,nan,nan,nan,4.40,nan,nan,nan,nan,nan
05-May-25 10:46:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 10:52:00 PM AEST,nan,nan,nan,nan,nan,nan,5.20,nan,nan,nan,nan,nan
05-May-25 11:00:00 PM AEST,nan,312.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:07:20 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 11:10:00 PM AEST,nan,nan,nan,nan,nan,nan,4.90,nan,nan,nan,nan,nan
05-May-25 11:10:40 PM AEST,nan,357.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:20:40 PM AEST,nan,nan,nan,nan,nan,nan,5.10,nan,nan,nan,nan,nan
05-May-25 11:21:20 PM AEST,nan,328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:28:40 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
05-May-25 11:31:20 PM AEST,nan,nan,nan,nan,nan,nan,3.80,nan,nan,nan,nan,nan
05-May-25 11:32:00 PM AEST,nan,301.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:37:15 PM AEST,nan,nan,nan,1.80,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:42:00 PM AEST,nan,nan,nan,nan,nan,nan,4.10,nan,nan,nan,nan,nan
05-May-25 11:42:40 PM AEST,nan,282.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
05-May-25 11:50:00 PM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
05-May-25 11:52:40 PM AEST,nan,nan,nan,nan,nan,nan,9.50,nan,nan,nan,nan,nan
05-May-25 11:53:20 PM AEST,nan,313.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:00:44 AM AEST,nan,nan,67.8,nan,nan,3.32,nan,nan,nan,42.80,26.00,nan
06-May-25 12:00:45 AM AEST,nan,nan,nan,nan,4.10,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:03:20 AM AEST,nan,nan,nan,nan,nan,nan,6.80,nan,nan,nan,nan,nan
06-May-25 12:04:00 AM AEST,nan,330.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:14:00 AM AEST,nan,nan,nan,nan,nan,nan,1.60,nan,nan,nan,nan,nan
06-May-25 12:14:40 AM AEST,nan,287.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:24:40 AM AEST,nan,nan,nan,nan,nan,nan,0.80,nan,nan,nan,nan,nan
06-May-25 12:25:20 AM AEST,nan,300.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:35:20 AM AEST,nan,nan,nan,nan,nan,nan,6.90,nan,nan,nan,nan,nan
06-May-25 12:35:44 AM AEST,nan,nan,nan,1.40,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:36:00 AM AEST,nan,314.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:42:00 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
06-May-25 12:46:00 AM AEST,nan,nan,nan,nan,nan,nan,3.50,nan,nan,nan,nan,nan
06-May-25 12:46:40 AM AEST,nan,26.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 12:56:40 AM AEST,nan,nan,nan,nan,nan,nan,2.50,nan,nan,nan,nan,nan
06-May-25 12:57:20 AM AEST,nan,324.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 1:03:20 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.37,nan,nan,nan,nan
06-May-25 1:08:00 AM AEST,nan,26.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 1:10:00 AM AEST,nan,nan,nan,nan,nan,nan,2.40,nan,nan,nan,nan,nan
06-May-25 1:18:40 AM AEST,nan,352.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
06-May-25 1:20:40 AM AEST,nan,nan,nan,nan,nan,nan,4.30,nan,nan,nan,nan,nan
06-May-25 1:24:40 AM AEST,nan,nan,nan,nan,nan,nan,nan,10.58,nan,nan,nan,nan
06-May-25 1:29:20 AM AEST,nan,323.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
