"day","Max_Temp","Av_Temp","Min_Temp","Radiant_exposure","Rainfall"
2021-07-20,30.15,23.9074192597526,19.3333333333333,16132.7740234765,0
2021-07-21,28.4833333333333,21.4574757010129,14.65,18088.058256993,0
2021-07-22,28.0615384615385,19.5971716897266,12.48,18463.0462538711,0
2021-07-23,27.9461538461538,21.4795125368459,15.45,18175.7704456279,0
2021-07-24,24.1333333333333,19.3343512767426,16.6333333333333,8.61,0
2021-07-25,29.1333333333333,21.9228797576692,17.0666666666667,16810.8509001954,0
2021-07-26,28.825,22.6126728518395,15.8,18531.3754571091,0
2021-07-27,28.0166666666667,22.0876558441558,17,11719.5885398352,0
2021-07-28,27.5857142857143,20.8140986501924,15.6428571428571,11337.3644351898,0
2021-07-29,29.025,21.1463703865579,14.1,14345.7771191235,0
2021-07-30,29.87,21.2910699688043,14.74,18142.4981534715,0
2021-07-31,29.675,22.3256705808811,16.8333333333333,14438.7968109391,0
2021-08-01,30.2916666666667,22.8288190260032,17.4666666666667,16328.817978426,0
2021-08-02,28.675,21.7787457449957,16.65,14863.1730370879,0
2021-08-03,30.85,22.0296949108239,15.6,18460.5511408591,0
2021-08-04,29.49,21.8325445677008,16.2333333333333,16065.9993351942,0
2021-08-05,27.2909090909091,19.7456922273329,13.3,18797.294456044,0
2021-08-06,26.0714285714286,18.773332316806,11.95,16085.3125751748,0
2021-08-07,26.95,21.321820009187,14.9428571428571,15461.4818376623,0
2021-08-08,25.7888888888889,21.5251125095905,18.3428571428571,9864.48012774725,1.8
2021-08-09,24.0818181818182,20.5628568358356,18.0333333333333,6997.76129033467,6
2021-08-10,23.85,20.9190983956307,17.9,5767.70799875125,0
2021-08-11,29.5166666666667,22.5217525953579,17.1,19018.0169820547,0
2021-08-12,25.57,21.4498939552511,18.1875,8784.17641039108,2.2
2021-08-13,28.2125,23.7101317523057,20.2666666666667,14048.3715580229,0.4
2021-08-14,27,22.6053968654802,20.5444444444444,11345.9691103749,5.2
2021-08-15,27.4818181818182,22.2235631237975,18.85,13938.5898262987,0.8
2021-08-16,27.4166666666667,22.659472412295,19.35,13492.7582786992,0
2021-08-17,29.16,22.3798739859677,16.3333333333333,20714.2453381618,0
2021-08-18,26.9909090909091,21.4520187268871,16.1333333333333,13222.3229823706,0
2021-08-19,29.15,20.8905607624156,14.6666666666667,20957.0910688503,0
2021-08-20,28.5181818181818,22.7931776469145,15.6444444444444,13638.4431603103,0
2021-08-21,29.5181818181818,24.6166921651581,21.7333333333333,14183.2689027149,0.6
2021-08-22,26.2454545454545,23.2105210976763,21,7569.92156043956,3.4
2021-08-23,29.7636363636364,23.6043477054347,18.85,18885.6980883602,0
2021-08-24,31.3181818181818,22.9666768098799,17.54,21066.6587184066,0
2021-08-25,29.1769230769231,22.1551998001998,17,21494.2419534216,0
2021-08-26,28.9076923076923,22.6913459985781,17.35,9868.58135539461,0
2021-08-27,30.8111111111111,23.7881623756361,18.9333333333333,18091.9961468164,0
2021-08-28,30.8,25.2540477362144,20.7333333333333,19701.921047908,0
2021-08-29,30.825,24.9963645583807,20.05,16036.5508379121,0
2021-08-30,31.7111111111111,25.160788393049,19.8,13928.046679901,0
2021-08-31,27.5571428571429,24.814950753381,22.65,5259.78012774725,1.4
2021-09-01,28.7923076923077,24.8819937401419,23.1333333333333,9119.39004058442,0
2021-09-02,28.4777777777778,24.6284144466644,22.15,14554.6855422078,0
2021-09-03,28.2,24.0034673539021,20.8333333333333,15779.6385123626,0
2021-09-04,28.3666666666667,23.367796560165,19.75,11003.1577211538,0.6
2021-09-05,28.88,23.2009241577136,18.0666666666667,13688.1234611638,0
2021-09-06,28.75,22.5454858641955,17.58,16950.1259711538,0.6
2021-09-07,25.62,22.4110100355325,20.45,13203.7627623626,0.2
2021-09-08,26.4916666666667,22.4386427432217,19.38,14289.8417034216,2
2021-09-09,26.02,22.3804596197453,19.7333333333333,12651.2296607143,1
2021-09-10,27.8583333333333,23.2226107545073,20.5666666666667,12260.7350342158,0
2021-09-11,27.6727272727273,23.0598951914275,20.4,10180.5979639331,0
2021-09-12,27.27,22.8374390253466,19.4,6732.68891869895,0.2
2021-09-13,30.6769230769231,23.9966658400701,18.34,22080.481363989,0
2021-09-14,30.6222222222222,23.8299274130125,18.7,22643.3597484354,0
